OBJECTID,BP_NO,STATUS,ADDRESS,UNIT_NO,DESCRIPTION,SCOPE,FILE_TYPE,BLDG_TYPE,APP_DETAIL,APPL_AREA,STOREYS,EST_CON_VALUE,RES_UNITS,DEMO,POSTAL_CODE,BLDG_NO,WARD,ZAREA,LATITUDE,LONGITUDE,APPLICATION_DATE,ISSUE_DATE,COMPLETE_DATE,latitude,longitude
8740,FIRE 20-890,COMPLETED -ALL INSP SIGNED OFF,7340 GOREWAY DR,,UPGRADING EXISTING FIRE ALARM SYSTEM AND ELEVATOR CONTROL SYSTEM,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,95000,,N,L4T 4H2,,5,48w,43.71933497,-79.64204576,1584057600000,2020-04-03,1677456000000,43.71933496582533,-79.6420457553539
8790,BP 3ALT 20-802,COMPLETED -ALL INSP SIGNED OFF,5050 SATELLITE DR,600,INTERIOR ALTERATIONS TO EXISTING ELEVATOR LOBBY ON 6TH FLOOR- ERCO WORLDWIRE,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL OFFICE - MULTI-USER,,,,36000,,N,L4W 0G1,,5,34w,43.65110832,-79.60628819,1583712000000,2020-04-13,1606953600000,43.651108315327896,-79.60628819378445
8831,BP 9ALT 20-1140,COMPLETED -ALL INSP SIGNED OFF,76 ST. LAWRENCE DR,,RESIDENTIAL ELEVATOR INSTALLATION,ALTERATION TO EXISTING BLDG,RESIDENTIAL,ROW DWELLING,,,,40000,,N,,,1,07,43.55466928,-79.57979271,1585612800000,2020-04-15,1608595200000,43.55466928226806,-79.57979271187598
8848,BP 9NEW 20-997,COMPLETED -ALL INSP SIGNED OFF,1690 LINCOLNSHIRE BLVD,,NEW (2) STOREY DETACHED DWELLING WITH FINISHED BASEMENT  INTERIOR ELEVATOR  FRONT COVERED PORCH & REAR BALCONY,NEW BUILDING,RESIDENTIAL,DETACHED DWELLING,,253.9,2,682000,1,N,L5E 2S7,,1,05,43.60180153,-79.55816044,1584662400000,2020-04-17,1629072000000,43.60180153065581,-79.55816043845485
8852,BP 3ALT 20-1219,COMPLETED -ALL INSP SIGNED OFF,1850 RATHBURN RD E,,CONCRETE REPAIRS TO INTERIOR SLAB OF PARKING GARAGE  ENTRANCE RAMP AND REPLACEMENT OF WATERPROOFING MEMBRANE,ALTERATION TO EXISTING BLDG,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,525000,,N,L4W 2X9,,3,26,43.63463,-79.59576329,1586131200000,2020-04-17,1684108800000,43.634629996089274,-79.5957632939971
8881,BP 3NEW 20-871,COMPLETED -ALL INSP SIGNED OFF,2475 TRUSCOTT DR,,ADDITION FOR A NEW LIFT SHAFT AND DEMOLISH EXISTING LIFT - CLARKSON ARENA,ADDITION TO EXISTING BLDG,PUBLIC,CITY,,6.9,,78000,,N,L5J 2B3,,2,11,43.51133541,-79.65021733,1584057600000,2020-04-22,1617840000000,43.51133541374072,-79.65021732789046
8926,BP 3ALT 20-872,COMPLETED -ALL INSP SIGNED OFF,830 PAISLEY BLVD W,,ALTERATIONS & UPGRADING TO (2) EXISTING LIFTS - HURON PARK COMMUNITY CENTRE,ALTERATION TO EXISTING BLDG,PUBLIC,CITY,,,,82000,,N,L5C 3P5,,7,16,43.55896355,-79.63257311,1584057600000,2020-04-28,1634860800000,43.55896355499373,-79.63257311057805
8946,BP 3ALT 20-1036,COMPLETED -ALL INSP SIGNED OFF,6695 AIRPORT RD,1ST-2ND FLOOR,INTERIOR ALTERATIONS - NEW INTERIOR ELEVATOR INCLUDING NEW MACHINE ROOM,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL OFFICE- SINGLE USER,,,,75000,,N,L4V 1Y4,,5,40w,43.69802629,-79.63364469,1584921600000,2020-04-30,1666224000000,43.69802629489194,-79.63364469120219
8987,BP 3NEW 20-1074,COMPLETED -ALL INSP SIGNED OFF,3185 ORLANDO DR,,ADDITION TO ACCOMMODATE ELEVATOR INSTALLATION AT THE ENTRANCE OF BUILDING - IBEW LOCAL-353,ADDITION TO EXISTING BLDG,INDUSTRIAL,INDUSTRIAL - OTHER,,5.5,,36000,,N,L4V 1C5,,5,40w,43.69921553,-79.62668181,1585094400000,2020-05-07,1608681600000,43.69921553066931,-79.62668181034891
9315,BP 3ALT 20-992,COMPLETED -ALL INSP SIGNED OFF,2 ROBERT SPECK PKY,LOWER BSMT-BSMT,INTERIOR ALTERATIONS - ADDITION OF ELEVATOR TO ACCESS BASEMENT LEVELS & BASEMENT MEZZANINE,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL OFFICE - MULTI-USER,,,,115000,,N,L4Z 1H8,,4,28,43.59620903,-79.63695195,1584662400000,2020-06-15,1667520000000,43.596209027215046,-79.63695194536211
