OBJECTID,BP_NO,STATUS,ADDRESS,UNIT_NO,DESCRIPTION,SCOPE,FILE_TYPE,BLDG_TYPE,APP_DETAIL,APPL_AREA,STOREYS,EST_CON_VALUE,RES_UNITS,DEMO,POSTAL_CODE,BLDG_NO,WARD,ZAREA,LATITUDE,LONGITUDE,APPLICATION_DATE,ISSUE_DATE,COMPLETE_DATE,latitude,longitude
1609,FIRE 18-1802,COMPLETED -ALL INSP SIGNED OFF,5915 AIRPORT RD,11TH FLR,INSTALLATION OF (2) MAGLOCKS - ELEVATOR LOBBY - HOSTOPIA,ELECTROMAG LOCK DEVICE,COMMERCIAL,COMMERCIAL OFFICE - MULTI-USER,,,,14000,,N,L4V 1T1,,5,33,43.68719812,-79.6078483,1526515200000,2018-06-14,1536537600000,43.68719811927478,-79.60784830387172
1730,BP 3NEW 18-576,COMPLETED -ALL INSP SIGNED OFF,135 MATHESON BLVD E,,2ND STOREY ADDN  NEW CANOPY  EXTERIOR ELEVATOR  INT & EXT ALTS TO CONVERT EXISTING OFFICE/WAREHOUSE SPACE INTO SELF-STORAGE FACILITY - BLUEBIRD SELF STORAGE FACILITY,ADDITION AND ALTERATION,INDUSTRIAL,INDUSTRIAL - OTHER,,2656.8,2,6409000,,N,L4Z 1R2,,5,36w,43.62137967,-79.66589658,1518652800000,2018-06-25,1562630400000,43.621379667642735,-79.66589657941547
1780,BP 3NEW 18-1443,COMPLETED -ALL INSP SIGNED OFF,2524 BROMSGROVE RD,,(2) STOREY SIDE ADDITION (ELEVATOR AND WASHROOMS) & INTERIOR ALTERATIONS - CLARKSON SECONDARY SCHOOL,ADDITION AND ALTERATION,PUBLIC,SCHOOL - SECONDARY,,97.2,,340000,,N,L5J 1L8,,2,11,43.50403589,-79.64519872,1524441600000,2018-06-28,1552608000000,43.504035887385825,-79.64519872251311
1784,BP 3NEW 18-1734,COMPLETED -ALL INSP SIGNED OFF,3573 WOLFEDALE RD,,EXTERIOR ALTERATIONS - (4) ROOFTOP UNITS  NEW DOOR  CONCRETE PAD AND RAMP - ROGERS,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL OFFICE- SINGLE USER,,,,187000,,N,L5C 3T6,,6,23,43.57495516,-79.65111789,1526256000000,2018-06-28,1542067200000,43.574955155119376,-79.65111788937956
1892,BP 3ALT 18-2428,COMPLETED -ALL INSP SIGNED OFF,515 HARTSDALE AVE,,INTERIOR ALTERATIONS - VERTICAL LIFT RETROFIT FOR STAGE - ST DOMINIC ELEMENTARY SCHOOL,OTHER,PUBLIC,SCHOOL - ELEMENTARY,,,,34000,,N,L5G 2G7,,1,07,43.57330864,-79.57974775,1530576000000,2018-07-09,1559088000000,43.573308635113484,-79.57974775074764
1896,FIRE 18-2152,COMPLETED -ALL INSP SIGNED OFF,100 QUEENSWAY  W,,UPGRADE OF EXISTING ELEVATOR C9- TRILLIUM HEALTH PARTNERS,OTHER,PUBLIC,PUBLIC/INSTIT (EXCEPT SCHOOLS),,,,34000,,N,L5B 1B8,,7,15,43.57147885,-79.60788718,1528934400000,2018-07-09,1593734400000,43.5714788514522,-79.6078871835314
2005,BP 3NEW 18-1569,COMPLETED -ALL INSP SIGNED OFF,100 QUEENSWAY  W,,NEW PARKING GARAGE ELEVATOR,ALTERATION TO EXISTING BLDG,PUBLIC,PUBLIC/INSTIT (EXCEPT SCHOOLS),,,,153000,,N,L5B 1B8,,7,15,43.57147885,-79.60788718,1525132800000,2018-07-17,1616112000000,43.5714788514522,-79.6078871835314
2024,MECH 18-2344,COMPLETED -ALL INSP SIGNED OFF,2200 EGLINTON AVE W,,UPGRADE (2) TURTLE ELEVATOR MECHANICAL SYSTEMS,OTHER,PUBLIC,PUBLIC/INSTIT (EXCEPT SCHOOLS),,,,96000,,N,L5M 2N1,,8,31,43.5590133,-79.70319941,1529971200000,2018-07-18,1580342400000,43.55901329932373,-79.7031994089758
2025,FIRE 18-2334,COMPLETED -ALL INSP SIGNED OFF,5995 AVEBURY RD,,FIRE ALARM UPGRADE FOR ELEVATOR MODERNIZATION,OTHER,COMMERCIAL,COMMERCIAL OFFICE - MULTI-USER,,,,69000,,N,L5R 3P9,,5,37e,43.62350119,-79.68100566,1529971200000,2018-07-18,1537401600000,43.62350118924941,-79.68100566300951
2028,BP 3ALT 18-2427,COMPLETED -ALL INSP SIGNED OFF,1300 MCBRIDE AVE,,INTERIOR ALTERATIONS - VERTICAL LIFT RETOFIT FOR STAGE - ST GERARD ELEMENTARY SCHOOL,ALTERATION TO EXISTING BLDG,PUBLIC,SCHOOL - ELEMENTARY,,,,34000,,N,L5C 1M8,,6,24,43.55894164,-79.65647749,1530576000000,2018-07-18,1550620800000,43.5589416437439,-79.65647749119866
2038,BP 3ALT 18-2426,COMPLETED -ALL INSP SIGNED OFF,4233 CENTRAL PKY E,,INTERIOR ALTERATIONS - VERTICAL LIFT RETROFIT FOR STAGE - ST CHARLES GARNIER ELEMENTARY SCHOOL,ALTERATION TO EXISTING BLDG,PUBLIC,SCHOOL - ELEMENTARY,,,,63000,,N,L4Z 1M7,,4,28,43.60595881,-79.63193484,1530576000000,2018-07-18,1553817600000,43.60595880599803,-79.63193483658507
2136,SGNBLD 18-2287,COMPLETED -ALL INSP SIGNED OFF,1400 COURTNEYPARK DR E,,FIVE (5) MULTIPLE SIGNS FOR LIFTOW LIMITED,MULTIPLE SIGNS,INDUSTRIAL,SINGLE TENANT INDUSTRIAL,,,,33000,,N,L5T 1H1,,5,42w,43.66168874,-79.65890243,1529625600000,2018-07-25,1537747200000,43.66168873689719,-79.65890243228418
2182,BP 3NEW 18-2441,ISSUED PERMIT,93 DUNDAS ST E,,NEW BARRIER-FREE RAMP ON EXTERIOR OF BUILDING - LANDLORD'S WORK,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL - OTHER,,,,34000,,N,L5A 1W7,,7,21,43.58249486,-79.61464684,1530576000000,2018-07-30,,43.582494858383946,-79.61464684101865
2378,BP 3ALT 18-2063,COMPLETED -ALL INSP SIGNED OFF,100 CITY CENTRE DR,2-839,INTERIOR ALTERATIONS DUE TO INCREASE IN UNIT SIZE - BELL MOBILITY STORE,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL RETAIL - MULTI-USER,,,,272000,,N,L5B 2C9,,4,29,43.59274013,-79.64265442,1528416000000,2018-08-17,1543276800000,43.59274012997629,-79.64265441737689
2926,BP 3ALT 18-3596,COMPLETED -ALL INSP SIGNED OFF,1867 INNER CIR,2ND & 5TH FLR,INTERIOR ALTERATIONS OF EXISTING CORRIDORS & ELEVATOR LOBBIES (BLOCK A) - WILLIAM G. DAVIS BUILDING - UTM,ALTERATION TO EXISTING BLDG,PUBLIC,SCHOOL - OTHER,,,,242000,,N,L5L 1C6,,8,24,43.55069205,-79.66439744,1538352000000,2018-10-11,1624406400000,43.5506920494479,-79.66439743994357
3072,BP 3ALT 18-2727,ISSUED PERMIT,1260 KAMATO RD,,REPLACE EXISTING BARRIER FREE RAMP TO FRONT ENTRANCE - APPLIED ELECTRONICS LIMITED,ALTERATION TO EXISTING BLDG,INDUSTRIAL,SINGLE TENANT INDUSTRIAL,,,,34000,,N,L4W 1Y1,,5,35w,43.64206794,-79.63910434,1532390400000,2018-10-23,,43.642067944692606,-79.6391043430043
3560,FIRE 18-4426,COMPLETED -ALL INSP SIGNED OFF,4635 TOMKEN RD,,REPLACEMENT OF FIRE ALARM PANEL - LOBBY ELEVATOR OF DAYS INN HOTEL,OTHER,COMMERCIAL,COMMERCIAL - OTHER,,,,69000,,N,L4W 1J9,,3,27,43.62685601,-79.62914515,1543449600000,2018-12-04,1564531200000,43.62685600547602,-79.62914515185719
3741,BP 3NEW 18-4392,ISSUED PERMIT,160 BRUNEL RD,"A, B",NEW EXTERIOR BARRIER FREE RAMP AT FRONT ENTRANCE  SUITE SEPARATION TO CREATE (2) VACANT UNITS & INTERIOR ALTERATIONS TO OFFICE AREA,ALTERATION TO EXISTING BLDG,INDUSTRIAL,MULTI-TENANT INDUSTRIAL,,,,202000,,N,L4Z 1T5,,5,36w,43.6275199,-79.67281204,1543190400000,2018-12-20,,43.627519902297095,-79.67281204095703
3910,BP 3NEW 18-4348,COMPLETED -ALL INSP SIGNED OFF,2200 BROMSGROVE RD,,INTERIOR ALTERATIONS & NEW EXTERIOR RAMP FOR TEMPORARY SALES CENTRE - CLARKSON PRESENTATION CENTRE,ALTERATION TO EXISTING BLDG,INDUSTRIAL,INDUSTRIAL - OTHER,,,,187000,,N,L5J 1L4,,2,11,43.5107618,-79.63765397,1542844800000,2019-01-21,1580342400000,43.510761795244704,-79.6376539670257
3913,BP 3ALT 18-4729,COMPLETED -ALL INSP SIGNED OFF,1867 INNER CIR,"BLOCK B-C,LVL 3",INTERIOR ALTERATIONS - WASHROOM UPGRADES TO EXISTING WASHROOM & NEW BARRIER FREE WASHROOM - LEVEL 3 -  WILLIAM G. DAVIS BUILDING - UTM,ALTERATION TO EXISTING BLDG,PUBLIC,SCHOOL - OTHER,,,,34000,,N,L5L 1C6,,8,24,43.55069205,-79.66439744,1545350400000,2019-01-21,1624320000000,43.5506920494479,-79.66439743994357
3962,BP 3ALT 18-4243,COMPLETED -ALL INSP SIGNED OFF,7035 EDWARDS BLVD,,NEW (6) STOREY TOWER ADDITION FOR NEW ELEVATOR - MONTE CARLO INN,ADDITION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL - OTHER,,59.53,,134000,,N,L5S 1X2,A,5,51w,43.64936936,-79.70362273,1542153600000,2019-01-25,1647907200000,43.64936935964923,-79.70362273070127
3968,BP 3ALT 18-3947,COMPLETED -ALL INSP SIGNED OFF,6900 AIRPORT RD,,INTERIOR ALTERATIONS - RE-PURPOSE EXISTING STAIR SHAFT TO ACCOMMODATE NEW FREIGHT LIFT,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL - OTHER,,,,102000,,N,L4V 1E8,,5,40w,43.70350677,-79.63832813,1540512000000,2019-01-28,1572307200000,43.70350677339834,-79.63832813112714
3992,BP 3ALT 19-4782,COMPLETED -ALL INSP SIGNED OFF,1867 INNER CIR,"BLOCK B-C,LVL 2",INTERIOR ALTERATIONS - WASHROOM UPGRADES & NEW BARRIER FREE WASHROOM - WILLIAM G. DAVIS BUILDING - UTM,ALTERATION TO EXISTING BLDG,PUBLIC,SCHOOL - OTHER,,,,34000,,N,L5L 1C6,,8,24,43.55069205,-79.66439744,1546473600000,2019-01-29,1621987200000,43.5506920494479,-79.66439743994357
4170,BP 3ALT 18-4716,COMPLETED -ALL INSP SIGNED OFF,205 COURTNEYPARK DR W,103,REVISION TO PERMIT 18-3071 - LAYOUT  MECHANICAL SYSTEM & NEW EXTERIOR RAMP - TURNER & TOWNSEND c,REVISIONS,INDUSTRIAL,MULTI-TENANT INDUSTRIAL,,,,223000,,N,L5W 0A5,,5,44e,43.63312077,-79.70016941,1545264000000,2019-02-20,1552435200000,43.63312077088745,-79.7001694101108
4197,BP 3ALT 18-4450,COMPLETED -ALL INSP SIGNED OFF,2476 ARGENTIA RD,400,INTERIOR ALTERATIONS - WEICHERT WORKFORCE MOBILITY,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL OFFICE - MULTI-USER,,,,571000,,N,L5N 6M1,C,9,46e,43.60030328,-79.75635892,1543795200000,2019-02-22,1566777600000,43.60030328025025,-79.75635891573987
4281,BP 3NEW 19-4943,COMPLETED -ALL INSP SIGNED OFF,2400 SKYMARK AVE,7A,EXTERIOR ALTERATIONS - FACADE CHANGES  NEW DOUBLE DOOR  NEW BARRIER FREE ACCESS RAMP - HOLOGIC CANADA ULC,ALTERATION TO EXISTING BLDG,INDUSTRIAL,MULTI-TENANT INDUSTRIAL,,,,55000,,N,L4W 5K5,,5,34w,43.65461574,-79.60143811,1547683200000,2019-03-05,1748563200000,43.654615738662294,-79.60143810673625
