OBJECTID,BP_NO,STATUS,ADDRESS,UNIT_NO,DESCRIPTION,SCOPE,FILE_TYPE,BLDG_TYPE,APP_DETAIL,APPL_AREA,STOREYS,EST_CON_VALUE,RES_UNITS,DEMO,POSTAL_CODE,BLDG_NO,WARD,ZAREA,LATITUDE,LONGITUDE,APPLICATION_DATE,ISSUE_DATE,COMPLETE_DATE,latitude,longitude
23703,BP 9ALT 23-10260,ISSUED PERMIT,145 ST. LAWRENCE DR,,REVISION TO 21-6626 - STRUCTURAL CHANGES AROUND ELEVATOR OPENING,ALTERATION TO EXISTING BLDG,RESIDENTIAL,ROW DWELLING,,,,11300,,N,,,1,07,43.55613328,-79.5784444,1700697600000,2024-01-03,,43.5561332793893,-79.5784443956189
23713,BP 9ALT 23-9558,COMPLETED -ALL INSP SIGNED OFF,2220 PARKER DR,,REVISION TO PERMIT 22-1616 - ALTERATIONS TO ADD NEW ELEVATOR & INTERIOR ALTERATIONS WITHIN SECOND FLOOR,ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,,,121881,,N,L5B 1W2,,7,15,43.56581716,-79.61288756,1696550400000,2024-01-04,1727827200000,43.56581715668051,-79.61288755810237
24139,BP 9ALT 24-428,COMPLETED -ALL INSP SIGNED OFF,9 EARL ST,,REVISION TO BP 23-5892 - ALTERATIONS WITHIN ALL FLOORS INCLUDING FINISHING BASEMENT  NEW ELEVATOR & STRUCTURAL ALTERATIONS,ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,,,152680,,N,L5M 1N6,,11,38w,43.58941578,-79.7196872,1706659200000,2024-02-16,1733443200000,43.58941577511993,-79.71968720384066
24580,FIRE 23-8432,ISSUED PERMIT,4983 RATHKEALE RD,,INSTALL SMOKE DETECTORS IN ELEVATOR LOBBIES AND CONNECT TO EXISTING FIRE CONTROL PANEL,OTHER,RESIDENTIAL,RESIDENTIAL - OTHER,,,,77000,,N,L5V 2B3,,6,30,43.57765657,-79.6826619,1689724800000,2024-03-28,,43.5776565690996,-79.68266190460771
24723,BP 9ALT 24-1189,COMPLETED -ALL INSP SIGNED OFF,3133 CLIPPERTON DR,,INTERIOR ALTERATIONS - INSTALL A HOMELIFT ELEVATOR  RELOCATE THE POWDER ROOM ON THE MAIN FLOOR,ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,20,,22620,,N,L5M 0C2,,10,57,43.55196714,-79.72953668,1710979200000,2024-04-09,1717372800000,43.55196713619475,-79.72953668022761
24754,FIRE 24-1445,COMPLETED -ALL INSP SIGNED OFF,1271 WALDEN CIR,,ALTERATIONS TO FIRE ALARM SYSTEM.  ELEVATOR RECALL SYSTEM,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,100620,,N,L5J 4R4,,2,10,43.51283939,-79.62941328,1712275200000,2024-04-11,1767657600000,43.51283938748254,-79.62941328356497
25018,BP 9ALT 24-1447,COMPLETED -ALL INSP SIGNED OFF,1772 POETS WALK,,ALTERATIONS TO BASEMENT  GROUND  SECOND FLOOR OF EXISTING SFD. WALL REMOVAL AND NEW ELEVATOR,ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,148.72,,88042,,N,L5M 4M4,,6,38w,43.58111685,-79.70392754,1712275200000,2024-05-02,1752537600000,43.581116847410726,-79.7039275351904
25078,BP 9ALT 24-377,ISSUED PERMIT,1362 LOCHLIN TR,,REVISION TO BP 23-8848 - ADDITION OF CAR LIFT IN GARAGE DOWN TO BASEMENT LEVEL  NEW UNHEATED STORAGE UNDER GARAGE  REAR DECK AND FLOOR STRUCTURE ALTERATIONS,REVISIONS,RESIDENTIAL,DETACHED DWELLING,,,,7599,,N,L5G 3V3,,1,07,43.56795983,-79.58539101,1706486400000,2024-05-09,,43.5679598327566,-79.58539101055844
25303,FIRE 24-2184,COMPLETED -ALL INSP SIGNED OFF,20 STRATHAVEN DR,,ALTERATIONS TO FIRE ALARM CONTROL PANEL FOR ELEVATOR MODERNIZATION,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,100620,,N,L5R 3R9,,5,37e,43.61019582,-79.65852097,1716422400000,2024-05-29,1730160000000,43.610195824445825,-79.65852097004172
25487,FIRE 24-2435,COMPLETED -ALL INSP SIGNED OFF,1800 THE COLLEGEWAY,,ALTERATIONS TO FIRE ALARM CONTROL PANEL FOR ELEVATOR MODERNIZATION,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,100620,,N,L5L 5S4,,8,24,43.54424039,-79.66815547,1717632000000,2024-06-13,1742860800000,43.54424038970782,-79.66815547217053
25653,BP 9ALT 24-970,ISSUED PERMIT,3420 ENNISKILLEN CIR,,SECOND STOREY & REAR ADDITION  INTERIOR ALTERATIONS  BARRIER FREE RAMP & NEW CANOPY FOR EXISTING PORCH IN FRONT YARD,ADDITION AND ALTERATION,RESIDENTIAL,DETACHED DWELLING,,134,,473008,,N,L5C 2N1,,6,24,43.5574266,-79.65958314,1709856000000,2024-06-27,,43.557426600805016,-79.65958313705474
26119,BP 9ALT 24-2112,COMPLETED -ALL INSP SIGNED OFF,1987 BALSAM AVE,,REVISION TO BP 23-6935 - CHANGES TO LAYOUTS  NEW ELEVATOR  NEW ROOF COVER FOR SIDE BELOW GRADE ENTRANCE  NEW REAR BALCONY TO COVER PORCH BELOW,ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,141.34,,128393,,N,L5J 1L3,,2,10,43.51535155,-79.63280777,1715904000000,2024-08-07,1751932800000,43.515351550109706,-79.63280776986832
26812,BP 9ALT 24-3218,COMPLETED -ALL INSP SIGNED OFF,110 ST. LAWRENCE DR,,NEW ELEVATOR ON GROUND & SECOND FLOOR,ALTERATION TO EXISTING BLDG,RESIDENTIAL,CONDOMINIUM ROW DWELLING,,10,,22620,,N,,,1,07,43.55557993,-79.57903506,1722211200000,2024-09-25,1748390400000,43.55557993107276,-79.57903505832206
26839,BP 3NEW 24-3437,COMPLETED -ALL INSP SIGNED OFF,4150 WESTMINSTER PL,,ALTERATIONS TO REPLACE ENTRANCE STAIRS & RAMP IN FRONT YARD - ST LUKES DIXIE SENIOR RESIDENCE,ALTERATION TO EXISTING BLDG,RESIDENTIAL,APARTMENT (> 6 UNITS),,90,,77740,,N,L4W 3Z7,,3,27,43.6150239,-79.6190491,1723507200000,2024-09-26,1751846400000,43.615023899413984,-79.61904909973333
27771,BP 9ALT 24-4973,COMPLETED -ALL INSP SIGNED OFF,3341 SUNDEW CRT,,(1) STOREY ADDITION IN SIDE YARD  NEW CRAWL SPACE  NEW SIDE DOOR  NEW DECK IN REAR YARD WITH LIFT,ADDITION AND ALTERATION,RESIDENTIAL,DETACHED DWELLING,,21.2,,78837,,N,L5N 5X6,,10,56,43.56417651,-79.75643737,1731283200000,2024-12-03,1768262400000,43.56417651482653,-79.75643737410985
