description,blg_type,ward,address,permit_date
"Interior alterations to a 1 storey institutional building (Bob McQuarrie Community Centre, accessibility retrofit to West entrance)",Institutional,Ward 1,1490 YOUVILLE DR,2014-01-01
Exterior alterations to a 1 storey warhouse building (replace ramp & concrete slab),Industrial,Ward 15,856 CLYDE AVE,2014-01-01
Construct new roof and install an access ramp; add a carport at the side of a mobile home,Single,Ward 6,6 ROWAN RD,2014-01-01
Construct a deck and wheelchair ramp (back and side yard),Single,Ward 17,460 MAIN ST,2014-01-01
Interior alterations on the 2nd and 3rd floor of a 5 storey institutional building (Laframboise Hall - barrier-free washrooms),Institutional,Ward 17,223 MAIN ST,2014-01-01
Increase the male and female washroom fixture count by 1. Construct a barrier-free unisex washroom.,Institutional,Ward 16,3191 RIVERSIDE DR,2014-01-01
Interior/Exterior alterations to a 4 storey mixed use building (Accessible entrances),Retail,Ward 14,187 BANK ST,2014-01-01
Construct a wheel chair ramp (front entrance),Single,Ward 1,1427 SILLERY PL,2014-01-01
Interior alterations to install an elevator in a 2 storey detached dwelling,Single,Ward 8,10 MARBLE ARCH CRES,2014-01-01
Exterior alterations to a 2 storey retail building (modifications to handicap ramp on the east entrance),Retail,Ward 12,51 YORK ST,2014-01-01
Interior alterations to a 4 storey office building (removal of partitions and elevator cab on all 4 floors),Office,Ward 16,1505 LAPERRIERE AVE,2014-01-01
Interior alterations to a 1 storey community building (Margaret Rywack - accessibility),Institutional,Ward 9,68 KNOXDALE RD,2014-01-01
Interior alterations to a 1 storey community centre (make washrooms accessible),Institutional,Ward 7,2074 BENJAMIN AVE,2014-01-01
Install automatic door operators to doors,Office,Ward 14,280 SLATER ST,2014-01-01
Interior alterations to add a new accessible washroom on the ground floor of a 29 storey office building (Place de Ville - Tower C),Office,Ward 14,330 SPARKS ST,2014-01-01
Tenant fit-up in the basement of a 14 storey office building; add 1 elevator and escalators from ground floor lobby to basement  (Winners),Office,Ward 14,155 QUEEN ST,2015-01-01
Interior alterations to a 1 storey funeral home (barrier free washroom),Other,Ward 7,2313 CARLING AVE,2015-01-01
"Interior alterations to a 17 storey office building (create accessible washrooms on Floors 2,3,4,7,8,9,10,11,12,13,14, and 16)",Mixed,Ward 14,50 O'CONNOR ST,2015-01-01
"Interior alteration to create accessible washrooms (floors 2, 4, 7 & 9, in the elevator corridor)",Office,Ward 14,99 BANK ST,2015-01-01
"Interior alterations in a 1 storey retail building (Red Lobster, Accessible Washrooms)",Retail,Ward 9,1595 MERIVALE RD,2015-01-01
Interior alterations to a 2 storey community complex (make pool change rooms accessible),Other,Ward 13,525 COTE ST,2015-01-01
Tenant fit up in a 1 storey community building (Lawnbowl Pavillion - accessibility),Other,Ward 9,1701 WOODROFFE AVE,2015-01-01
Tenant fitup on the ground floor (CRU-1 & CRU-4) and add a freight lift in a  2 storey retail building (Canadian Tire).,Retail,Ward 15,1660 CARLING AVE,2015-01-01
Interior alterations (replace elevator) to a 4 storey office/industrial building (David Florida Laboratory),Office,Ward 7,3701 CARLING AVE,2015-01-01
Interior alterations to upgrade the Elevator Shafts in  a 4 storey long-term care residency (Residence Saint-Louis),Other,Ward 1,879 HIAWATHA PARK RD,2015-01-01
Lift existing office building to construct a slab foundation beneath it,Office,Ward 10,2287 ST. LAURENT BLVD,2015-01-01
FOUNDATION ONLY - Construct the foundation and parking garage for a mixed use building (This permit does not include the garage ramp),Mixed,Ward 15,10 ROSEMOUNT AVE,2015-01-01
FOUNDATION ONLY - Construct the foundation and parking garage for a mixed use building (This permit does not include the garage ramp),Mixed,Ward 15,1130 WELLINGTON ST W,2015-01-01
"Construction of stair and elevator additions, partial demolition and interior alterations to a 3 storey assembly building (conversion of Grant School into Centre Multiservices Francophone de l'Ouest d'Ottawa)",Office,Ward 7,2720 RICHMOND RD,2015-01-01
"Repair to the parking garage, ramp and laneway in a 14 storey apartment building",Apartment,Ward 15,370 DOMINION AVE,2015-01-01
Interior alterations on the 5th to the 21st floor of a 21 storey office building (accessible washrooms),Office,Ward 14,365 LAURIER AVE W,2015-01-01
Exterior/interior alterations to a 4 storey Group Home (Install power assist door in 5 locations and upgrade entrance ramp),Institutional,Ward 12,433 NELSON ST,2015-01-01
Exterior alterations to replace accessibility ramp,Institutional,Ward 12,515 SUSSEX DR,2015-01-01
Construct a wheel chair ramp to a 1 storey detached dwelling,Single,Ward 5,200 BALDWIN ST,2015-01-01
Construct a deck and wheelchair accessible ramp at the side of a detached dwelling,Single,Ward 13,583 DONALD ST,2015-01-01
56tyy6Interior alterations to a 1 storey commercial building to construct a shaft and machine room for a lift for handicap access (Royal Canadian Legion - Manotick),Mixed,Ward 21,5550 ANN ST,2015-01-01
Remove and replace wheelchair ramp on a 2 storey rowhouse (front yard),Rowhouse,Ward 7,2925 DUMAURIER AVE,2015-01-01
Exterior alterations to a 2 storey office building (Canadian Dental Association - construct accessibility ramp),Office,Ward 18,1815 ALTA VISTA DR,2015-01-01
"Exterior alterations (replace stairs, guards and add HC ramp to rear platform) to a 2 storey retail building",Retail,Ward 14,250 CITY CENTRE AVE,2015-01-01
Interior alterations on the 1st floor of a 15 storey office building (lobby and elevator corridor),Office,Ward 14,99 BANK ST,2015-01-01
Construct an wheelchair accessibility ramp at the front of a 2 storey detached dwelling,Single,Ward 16,3039 LINTON RD,2015-01-01
"Interior alterations to a 4 storey  building (Rideau Hall, Replace elevator)",Institutional,Ward 13,1 SUSSEX DR,2015-01-01
Interior alterations to install a elevator on the ground floor in a 2 storey institutional building (St. Martins Catholic School),Institutional,Ward 23,20 MCKITRICK DR,2015-01-01
Interior alterations to install an elevator on the ground floor in a 1storey institutional building (Brother Andre Elementary),Institutional,Ward 11,1923 ELMRIDGE DR,2015-01-01
Install an elevator to a 2 storey recreational building (Britania yacht club),Other,Ward 7,2777 CASSELS ST,2015-01-01
Construct an accessible ramp (front yard),Single,Ward 19,625 CHARDONNAY DR,2015-01-01
Construct a 1 storey addition on a 2 storey detached dwelling (to create an accessible washroom),Single,Ward 2,64 WEDGEWOOD CRES,2015-01-01
Construct a barrier free ramp at a school (McMaster Catholic School),Institutional,Ward 18,1760 MCMASTER AVE,2015-01-01
Interior alterations to replace a lift with ramp on the main floor of a 2 storey institutional building (Heron Community Centre),Institutional,Ward 18,1480 HERON RD,2015-01-01
Construct an accessibility ramp at the front of a 1 storey detached dwelling,Single,Ward 20,7911 LAWRENCE ST,2015-01-01
Construct a barrier free ramp in the garage of a 1 storey detached dwelling,Single,Ward 21,209 OAK LEAF PRIV,2015-01-01
"Interior alterations to a 2 storey office building (Unit 103, International Union of Elevator Constructors)",Office,Ward 9,21 -103 ANTARES DR,2015-01-01
Exterior alterations to remove and replace accessible ramp in a 1 storey office building,Office,Ward 16,1915 BANK ST,2015-01-01
Construct a 2 storey addition for an elevator  (Beaverbrook Community Centre),Institutional,Ward 4,2 BEAVERBROOK RD,2015-01-01
Installation of an enclosed three storey elevator at the rear of a three storey single dwelling and the creation of a third level rear balcony.,Single,Ward 17,24 AYLMER AVE,2015-01-01
Interior alterations to install a handicap ramp in a public corridor of a 2 storey mixed use  building,Mixed,Ward 13,400 MCARTHUR AVE,2015-01-01
Interior alterations to install an elevator in a 2 storey office building,Office,Ward 19,2025 LANTHIER DR,2015-01-01
Exterior alterations to construct an access ramp at the front of a 1 storey detached dwelling,Single,Ward 13,972 BEAUDRY ST,2015-01-01
Interior alterations to a 1 storey detached dwelling (Install an elevator),Single,Ward 11,9 WICK CRES,2015-01-01
Inteiror alterations on the 1st floor of a 4 storey office building (Elevator lobby),Office,Ward 18,2781 LANCASTER RD,2015-01-01
Exterior alterations on the 1st floor of a 7 storey mixed use building (Construct a barrier free ramp - Scotiabank),Mixed,Ward 12,700 SUSSEX DR,2015-01-01
Interior alterations to a 2 storey hotel (Best Western Hotel - Install an elevator),Other,Ward 8,1876 ROBERTSON RD,2015-01-01
