description,blg_type,ward,address,permit_date
Install an elevator in a 2 storey detached dwelling,Single,Ward 15,526 COLE AVE,2021-01-01
Construct a pedestrian ramp (Replace existing),Apartment,Ward 18,1245 WALKLEY RD,2021-01-01
Interior alterations in a 2 storey detached dwelling (accessible bathroom),Single,Ward 15,526 COLE AVE,2021-01-01
Interior alterations to a 1 storey detached dwelling (roll-in shower for accessibility and install wider pocket door),Single,Ward 11,2395 OGILVIE RD,2021-01-01
Interior alterations to a 2 storey detached dwelling (remove wall and widen door),Single,Ward 2,6791 BARSONA PL,2021-01-01
Interior alterations to a 2 storey apartment building (add elevator),Apartment,Ward 6,1 CARLETON CATHCART ST,2021-01-01
Construct a wheelchair ramp at the side of a 1 storey semi-detached dwelling,Semi - Detached,Ward 9,51 TIVERTON DR,2021-01-01
Install an elevator in a 2 storey detached dwelling,Single,Ward 4,9 HOLGATE CRT,2021-01-01
"Interior alterations to 3 storey rowhouse (renovate bathroom for accessibility - Units 401, 501, 701, 208, 308)",Stacked Rowhouse,Ward 13,30 PROVENDER AVE,2021-01-01
Install a vertical platform lift for a wheelchair in a 2 storey detached dwelling (rear yard),Single,Ward 12,115 RUSSELL AVE,2021-01-01
Construct a ramp (between rowhouses),Rowhouse,Ward 16,3415 -1 UPLANDS DR,2021-01-01
"Construct a secondary dwelling unit (basement), deck and ramp (rear yard) to a 2 storey detached dwelling",Single,Ward 19,2935 QUILLIVAN LANE,2022-01-01
Construct an accessibility ramp on a 2 storey detached dwelling (front yard),Single,Ward 3,18 SETTLER'S RIDGE WAY,2022-01-01
Exterior alterations to a 2 storey semi-detached (install wheelchair lift),Single,Ward 15,840 BROADVIEW AVE,2022-01-01
"Interior alterations to a 2 storey detached dwelling (install elevator, bathroom reno)",Single,Ward 17,12 ROSLYN AVE,2022-01-01
"Install a handicap lift with concrete pad footing, landing platform and 4 foot tall retaining walls along the driveway of a 2 storey detached dwelling",Single,Ward 12,453 DALY AVE,2022-01-01
Construct a steel roof over a parking garage ramp of a 18 storey residential building,Apartment,Ward 18,1525 ALTA VISTA DR,2023-01-01
Construct a steel roof over a parking garage ramp of a 18 storey residential building,Apartment,Ward 18,1545 ALTA VISTA DR,2023-01-01
Interior alterations in a 1 storey detached dwelling (removing existing elevator),Single,Ward 23,123 BANNING RD,2023-01-01
Exterior/Interior alterations to an 11 storey apartment building (Remove Bell Mobility),Apartment,Ward 18,1909 RUSSELL RD,2023-01-01
Interior alterations in a 2 storey semi-detached dwelling (install personal lift),Semi - Detached,Ward 7,844 MAITLAND AVE,2023-01-01
Interior alterations in a 2 storey detached dwelling (accessibility changes),Single,Ward 4,45 MARICONA WAY,2023-01-01
Interior alterations in a 1 storey detached dwelling (enlarge elevator shaft),Single,Ward 21,16 WALLACE CRT,2023-01-01
"Exterior/interior alterations to the ground floor of a 1 storey detached dwelling (adding accessible lift side yard, new deck and entry door)",Single,Ward 8,2001 NAVAHO DR,2023-01-01
Exterior alterations to a 7 storey apartment building (Covered roof over garage ramp),Apartment,Ward 7,370 FOREST ST,2023-01-01
"Construct a 3 storey addition on a 3 storey duplex dwelling (elevator service, side entrance renovation)",Duplex,Ward 17,169 POWELL AVE,2023-01-01
Construct a front porch accessibility ramp on a 2 storey semi-detached dwelling,Semi - Detached,Ward 11,1094 ELMLEA DR,2023-01-01
"Construct a front porch with 2nd storey balcony, ramp and doorway to balcony, on a 3 storey dwelling (attached to commercial building at the rear)",Single,Ward 14,167 GILMOUR ST,2023-01-01
Interior alterations to a 2 storey detached dwelling (install accesibility lift),Single,Ward 2,"1683 RAVINS, PLACE DES",2023-01-01
Interior alterations in a 2 storey semi-detached dwelling (install personal lift),Single,Ward 16,13 LYNHURST AVE,2023-01-01
Construct an addition on a 2 storey detached dwelling (service elevator),Single,Ward 3,691 FENWICK WAY,2023-01-01
PLUMBING ONLY:  Replace bathtub with a zero threshold shower (Unit 1607),Apartment,Ward 14,245 KENT ST,2023-01-01
Construct a deck and ramp at rear of 1 storey detached dwelling,Institutional,Ward 16,5 RATAN CRT,2024-01-01
Interior alterations to install a wheel chair platform lift in a 1 storey detached dwelling,Single,Ward 7,205 ANCASTER AVE,2024-01-01
Construct a deck and ramp at rear of 2 storey detached dwelling,Institutional,Ward 24,27 FOREST GATE WAY,2024-01-01
Interior alterations in a 12 storey apartment building (install automatic door openers),Apartment,Ward 7,1025 GRENON AVE,2024-01-01
Install a pneumatic vacuum elevator in a 3 storey semi-detached dwelling,Semi - Detached,Ward 15,105 WEST VILLAGE PRIV,2024-01-01
Interior Alterations to a 2 storey detached dwelling (Main floor Kitchen move sink and widen window and widen door),Single,Ward 1,1382 TALCY CRES,2024-01-01
"Exterior alterations to a block of 3 storey rowhouse dwellings (replacement and repair of exterior concrete stairs, ramp and railings)",Stacked Rowhouse,Ward 15,217 FORWARD AVE,2024-01-01
