_id,PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,WORK,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,GEO_ID,WARD_GRID,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,INSTITUTIONAL,RESIDENTIAL,BUSINESS_AND_PERSONAL_SERVICES,MERCANTILE,INDUSTRIAL,INTERIOR_ALTERATIONS,DEMOLITION,rank,address
16146,15 150055 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,125,SCADDING,AVE, ,M5A,10011263,S1039,2015-05-01,2015-08-27,,Inspection,"Proposal for waterproffing and concrete repairs to the south podium deck slab, ramp slab and breezeway of existing apartment building.",Apartment Building,Same,,,"600,000",0,0,0,0,0,0,0,0,0.057308756,125 SCADDING AVE
16372,10 182203 BLD,00,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,61,FRONT,ST,W,M5J,10864312,S1037,2010-05-26,2010-07-20,,Inspection,"Proposal for interior alterations to lower level ramp, concourse level ticket counters and offices, and second floor offices at Union Station (748m2).",Union Station,Union Station,0,0,100000,0,0,0,0,0,0,748,0,0.057308756,61 FRONT ST W
16409,11 108201 BLD,00,Building Additions/Alterations,Performing Arts Centre,Garage Repair/Reconstruction,60,SIMCOE,ST, ,M5J,868439,S1033,2011-01-17,2011-02-10,,Permit Issued,Proposal to conduct remedial work to existing loading dock ramp. Roy Thomson Hall. ,Performing Arts Centre,Same,,,150000,0,0,0,0,0,0,0,0,0.057308756,60 SIMCOE ST
16453,09 113516 BLD,00,Building Additions/Alterations,Apartment Building,Other(BA),57,MABELLE,AVE, ,M9A,7042039,W0321,2009-03-03,2009-11-03,,Inspection,Replace existing handicap ramp and construct new unenclosed canopy,Apartment Building,Apartment Building,0,0,30000,0,0,0,0,0,0,0,0,0.057308756,57 MABELLE AVE
17245,09 122489 BLD,00,Small Residential Projects,SFD - Detached,Deck,32,SHARPE,ST, ,M1N,384965,E2031,2009-04-01,2010-02-12,,Revocation Pending,Wheel chair ramp at front and side of house.,Sfd,Sfd,,,"5,000",0,0,0,0,0,0,0,0,0.057308756,32 SHARPE ST
17556,14 186111 BLD,01,Building Additions/Alterations,Office,Interior Alterations,401,RICHMOND,ST,W,M5V,7930615,S1030,2015-09-17,2015-10-27,,Revision Issued,"REVISION - clarification of the fire seperation ratingsProposed Interior Alterations to the part of the Basement Floor of an existing non-residential building, to convert existing studios B004, B006, B008, B0009 and B010 to Retail Spaces Suites 1 and 2, and provide a new pedestrian ramp connecting basement to the street level access. ",Office,Office,0,0,5000,0,0,0,0,0,0,0,0,0.057308756,401 RICHMOND ST W
17672,24 140997 BLD,00,Building Additions/Alterations,Medical/Dental Office,Other(BA),368,MELROSE,AVE, ,M5M,542315,N0824,2024-04-26,2024-06-05,,Permit Issued,Proposed restoration of existing ramp at west side and restoration of wooden deck platform at the rear side of existing physiotherapy clinic. ,Physiotherapy Clinic,Physiotherapy Clinic,0,0,"50,000",0,0,0,0,0,0,37.16,0,0.057308756,368 MELROSE AVE
17702,18 186176 BLD,00,Building Additions/Alterations,Multiple Unit Building,Garage Repair/Reconstruction,79,WELLINGTON,ST,W,   ,7929313,S1034,2018-06-28,2018-08-17,,Permit Issued,Proposal for waterproofing system replacement and localized concrete repairs within the parking garage and exterior access ramp.,Multiple Unit,Multiple Unit,,,3220009.32,0,0,0,0,0,0,0,0,0.057308756,79 WELLINGTON ST W
17795,24 170610 BLD,00,Building Additions/Alterations,Restaurant 30 Seats or Less ,Multiple Projects,195,GEARY,AVE, ,M6H,10428593,S0928,2024-06-26,2024-07-12,,Permit Issued,"Interior alterations to addition of 2 unisex washrooms on 2nd floor, and new barrier free ramp on ground floor to access patio. Restaurant on 2nd floor. ",Industrial Meat Processing/Butcher,Industrial Meat Processing/Butcher And Restaurant < 30 Seats,0,0,95000,0,0,0,0,0,0,190.42,0,0.057308756,195 GEARY AVE
17994,26 129211 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,30,GREENFIELD,AVE, ,M2N,9135227,N1826,2026-03-13,2026-04-16,,Permit Issued,"Localized concrete repairs, wholesale thin-traffic deck waterproofing replacement, localized injection of foundation wall leaking cracks, localized trenching of the P4 slab-on-grade and replacement of below-grade piping, localized suspended slab drain replacement, localized expansion joint gland seal replacement.Year 2026 Scope: Level P3 slab and P3-P4 rampYear 2027 Scope: Level P2 slab and P2-P3 rampYear 2028 Scope: Level P1 slab and P1-P2 ramp",Apartment,Apartment,,,3000000,0,0,0,0,0,0,0,0,0.057308756,30 GREENFIELD AVE
