city_file_number,permit_type,permit_class,permit_date,status,description_of_development,address,legal_description,neighbourhood_id,neighbourhood,neighbourhood_classification,ward,zoning,land_parcel_count,latitude,longitude,location,geometry_point,bia
168869388-002,Major Development Permit,Discretionary Development,2015-09-10T00:00:00.000,Approved,To construct exterior alterations to a Limited Group Home (wheel chair barrier-free access ramp in Front Yard).,5107 - 124 AVENUE NW,Plan 2166NY Blk 5 Lot 52,2560,NEWTON,Redeveloping,Métis Ward,RS,3,53.57898911971732,-113.42055963054273,"{'latitude': '53.57898911971732', 'longitude': '-113.42055963054273', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.42055963054273, 53.57898911971732]}",
274454431-001,Minor Development Permit,Permitted Development,2018-02-12T00:00:00.000,Approved,"To construct exterior alterations to an existing Single Detached House (front accessibility ramp, front uncovered landing @ 1.07m in Height and front uncovered Deck @ 1.19m in Height).",11647 - 71 STREET NW,Plan 1188HW Blk 24 Lot 12,2060,BELLEVUE,Redeveloping,Métis Ward,RM,3,53.570047598436005,-113.45080639187469,"{'latitude': '53.570047598436005', 'longitude': '-113.45080639187469', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.45080639187469, 53.570047598436005]}",
459658753-002,Minor Development Permit,,,Other,"To construct a Single Detached House with Unenclosed Front Porch, two attached Garages (front and side), partially rear covered decks, rear covered deck (11.25m x 5.74m), fireplaces, elevator, and Basement development (NOT to be used as an additional Dwelling)",4519 - DONSDALE DRIVE NW,Plan 5751MC Lot 2,4120,DONSDALE,Developing,sipiwiyiniwak Ward,RR,3,53.48403114540747,-113.6314838608734,"{'latitude': '53.48403114540747', 'longitude': '-113.6314838608734', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.6314838608734, 53.48403114540747]}",
254726399-001,Major Development Permit,Permitted Development,2017-09-25T00:00:00.000,Approved,"To construct exterior alterations to an existing Apartment House (barrier-free ramp, railing and new stairs)",10508 - 119 STREET NW,Plan 9423856 Unit 164,1180,QUEEN MARY PARK,Redeveloping,O-day'min Ward,DC2,6,53.54829515763309,-113.52754415489494,"{'latitude': '53.54829515763309', 'longitude': '-113.52754415489494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.52754415489494, 53.54829515763309]}",
162139487-015,Major Development Permit,Discretionary Development,2015-08-31T00:00:00.000,Approved,"To construct a 250.8 meter high mixed Use Tower with General Retail Stores on the main Floor; General Retail Stores and Specialty Food Services (with 12,696 square meters of Public Space and 600 seats) on the 2nd Floor; and General Retail Stores and Professional, Financial and Office Support Services on the 3rd floor; Professional, Financial and Office Support Services and accessible garden roof Amenity Area on the 4th Floor; Professional, Financial and Office Support Services from the 5th to 28th Floors; mechanical on the 29th Floor; Apartment Housing (454 Dwelling units) in the upper Tower from 30th to 66th Floors where the 30th Floor has a Residential roof Amenity Area; mechanical on the 67th to 69th Floors; and pedway to connect to the adjacent proposed Hotel (legally described as Plan 1321953, Block 2, Lot 1) development on a portion of the Site (legally described as Plan 1321953, Block 2, Lot 2). (Stantec Tower)",10220 - 103 AVENUE NW,Plan 2020006 Unit 566,1090,DOWNTOWN,Redeveloping,"Ward 06,O-day'min Ward","AED,HA",19,53.54531828476086,-113.49719088528578,"{'latitude': '53.54531828476086', 'longitude': '-113.49719088528578', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.49719088528578, 53.54531828476086]}",Downtown
611862051-002,Major Development Permit,Not Available,2025-07-17T00:00:00.000,Approved,To construct exterior alterations to a 25 Dwelling Residential Use building in the form of a Multi-unit Housing (sloped pathway and new barrier free access to the East entrance).,10540 - 77 AVENUE NW,Plan 2520547 Blk 27 Lot 21A,5330,QUEEN ALEXANDRA,Redeveloping,papastew Ward,RM,4,53.513561034,-113.50244561,"{'latitude': '53.513561034', 'longitude': '-113.50244561', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.50244561, 53.513561034]}",
354771412-001,Minor Development Permit,Permitted Development,2020-03-25T00:00:00.000,Approved,"To construct a Semi-Detached House with Unenclosed Front Porches, accessibility ramps, Secondary Suites in the Basements, and to demolish the existing Single Detached House and Accessory building (rear detached Garage).",12247 - 106 STREET NW,Plan 1056HW Blk 5 Lot F,1250,WESTWOOD,Redeveloping,O-day'min Ward,RS,3,53.57815342134148,-113.50238739077693,"{'latitude': '53.57815342134148', 'longitude': '-113.50238739077693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.50238739077693, 53.57815342134148]}",
263488504-001,Minor Development Permit,,,Other,To construct an addition (enclosure for wheelchair ramp) to a Single Detached House.,17819 - 91 STREET NW,Plan 9023320 Blk 1 Lot 40,2440,KLARVATTEN,Developing,tastawiyiniwak Ward,RS,3,53.64041641910531,-113.47827350963665,"{'latitude': '53.64041641910531', 'longitude': '-113.47827350963665', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.47827350963665, 53.64041641910531]}",
188307978-001,Major Development Permit,Discretionary Development,,Refused,To convert a Single Detached House to a Child Care Service Use (49 Children) and to construct interior and exterior (convert attached garage to usable floor space and construct an outdoor landing 1.0m x 1.0m @ 1.47m in height with ramp).,9650 - 153 STREET NW,Plan 5229AD Blk 26 Lot 1,4580,WEST JASPER PLACE,Redeveloping,Nakota Isga Ward,RS,3,53.53446718445969,-113.58554222121512,"{'latitude': '53.53446718445969', 'longitude': '-113.58554222121512', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.58554222121512, 53.53446718445969]}",
370835529-002,Major Development Permit,Discretionary Development,,Other,To convert a Single Detached House to a (Limited Group Home with four residents and to construct exterior alterations (wheelchair ramp).,6603 - 131A AVENUE NW,Plan 6951MC Blk 19 Lot 13,2020,BALWIN,Redeveloping,tastawiyiniwak Ward,RM,3,53.59110771050351,-113.44345518137374,"{'latitude': '53.59110771050351', 'longitude': '-113.44345518137374', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.44345518137374, 53.59110771050351]}",
232204188-001,Major Development Permit,Discretionary Development,2016-10-13T00:00:00.000,In Progress,To construct an addition (elevator / lobby enclosure) to a Religious Assembly building,253 - WOODVALE ROAD WEST NW,Plan 7721467 Blk 20 Lot 40,6300,HILLVIEW,Redeveloping,Karhiio Ward,RSM,3,53.4684505325565,-113.43219399930959,"{'latitude': '53.4684505325565', 'longitude': '-113.43219399930959', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.43219399930959, 53.4684505325565]}",
182387343-001,Minor Development Permit,Permitted Development,2015-11-18T00:00:00.000,Approved,To construct exterior alterations to a Mobile Home (barrier-free access ramp).,14 - OAK RIDGE DRIVE NW,Plan 7920218 Lot 2,6410,MAPLE RIDGE,Redeveloping,Sspomitapi Ward,RSF,3,53.503389673375764,-113.36277298735689,"{'latitude': '53.503389673375764', 'longitude': '-113.36277298735689', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.36277298735689, 53.503389673375764]}",
165758591-004,Minor Development Permit,Discretionary Development,2015-10-16T00:00:00.000,Approved,To construct exterior alterations to an existing Single Detached House (wheelchair ramp).,4407 - 109 AVENUE NW,Plan 3327KS Blk 60 Lot 5,6061,CAPILANO,Redeveloping,Métis Ward,RS,3,53.5567771677195,-113.41210073386696,"{'latitude': '53.5567771677195', 'longitude': '-113.41210073386696', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.41210073386696, 53.5567771677195]}",
