row_id,issue_date,permit_date,year,month_number,job_category,job_description,building_type,work_type,construction_value,floor_area,units_added,address,legal_description,zoning,neighbourhood_numberr,neighbourhood,bia,count,latitude,longitude,location,geometry_point,occupancy_granted_date
1-345022880,2020-01-02T00:00:00.000,2020-01-02T00:00:00.000,2020,1,Commercial Final,To construct Interior Alteration to add a barrier free washroom in a vacant CRU. Separate permit required for future tenant improvement.,Mixed Use (522),(03) Interior Alterations,12000,850,0,14427A - MILLER BOULEVARD NW,Plan 0024700 Blk 9 Lot 1,CN,2541,MILLER,,1,53.60759354427093,-113.41369727767638,"{'latitude': '53.60759354427093', 'longitude': '-113.41369727767638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.41369727767638, 53.60759354427093]}",
2-257429900,2017-10-17T00:00:00.000,2017-10-17T00:00:00.000,2017,10,Commercial Final,"To construct exterior alterations to an existing Public Education Services building (St. Vladimir). Scope of work includes upgrade South entrance doors, and new access ramp.",Elementary Schools (620),(03) Interior Alterations,65507,1300,0,7510 - 132 AVENUE NW,Plan 6338MC Blk 15,PS,2230,DELWOOD,,1,53.59307283038707,-113.45669800141327,"{'latitude': '53.59307283038707', 'longitude': '-113.45669800141327', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.45669800141327, 53.59307283038707]}",
0-291491130,2018-11-15T00:00:00.000,2018-11-15T00:00:00.000,2018,11,Commercial Final,To construct interior renovations to an education building. Building life safety and barrier free upgrades to prepare for future demising and creation of tenant suites. And construct repairs to an existing parkade.,Universities (626),(03) Interior Alterations,2720000,,0,10035 - 156 STREET NW,Plan 7921194 Blk 2 Lot 11,UI,4580,WEST JASPER PLACE,Stony Plain Road and Area,1,53.540052877556484,-113.58940771452625,"{'latitude': '53.540052877556484', 'longitude': '-113.58940771452625', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.58940771452625, 53.540052877556484]}",
2-362314629,2020-05-25T00:00:00.000,2020-05-25T00:00:00.000,2020,5,Commercial Final,"To construct interior alterations with mixed use residential building - alterations to central lobby-new mail room, leasing office, interior ramp",Mixed Use (522),(03) Interior Alterations,50000,1075,0,10803 - JASPER AVENUE NW,Plan 1222211 Blk 8 Lot 46A,JAMSC,1090,DOWNTOWN,Downtown,1,53.540589138453115,-113.50748205775484,"{'latitude': '53.540589138453115', 'longitude': '-113.50748205775484', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.50748205775484, 53.540589138453115]}",
46-146126567,2018-05-02T00:00:00.000,2018-05-02T00:00:00.000,2018,5,Commercial Final,To construct interior alterations in a commercial building (install elevators in existing shafts) - MacEwan University Center for Art and Communications.,Universities (626),(03) Interior Alterations,595000,,0,11110 - 104 AVENUE NW,Plan 2121375 Blk 20 Lot 102,"UI, UI, UI",1090,DOWNTOWN,Downtown,1,53.54716787509992,-113.50800639807663,"{'latitude': '53.54716787509992', 'longitude': '-113.50800639807663', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.50800639807663, 53.54716787509992]}",
1-326318744,2019-09-04T00:00:00.000,2019-09-04T00:00:00.000,2019,9,Commercial Final,To construct Interior Alteration to an existing school - Belvedere School - Barrier free washroom,Elementary Schools (620),(03) Interior Alterations,72000,1076.39,0,13359 - 62 STREET NW,Plan 8722545 Blk 27 Lot 15,PS,2080,BELVEDERE,,1,53.59453174421138,-113.43513881623774,"{'latitude': '53.59453174421138', 'longitude': '-113.43513881623774', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.43513881623774, 53.59453174421138]}",
3-234856207,2017-07-12T00:00:00.000,2017-07-12T00:00:00.000,2017,7,Commercial Final,"To construct interior alterations to and existing retail space for Shopper's Drug Mart (scope of work includes two new elevators, new BF washrooms and access ramps and convenience stairs).","Malls, Office/Retail (512)",(03) Interior Alterations,1500000,22878,0,1 - EDMONTON CITY CENTRE NW,Plan 1194TR Lot A,CCA,1090,DOWNTOWN,Downtown,1,53.543758324789714,-113.49276732482107,"{'latitude': '53.543758324789714', 'longitude': '-113.49276732482107', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.49276732482107, 53.543758324789714]}",
0-283684418,2018-07-11T00:00:00.000,2018-07-11T00:00:00.000,2018,7,Commercial Final,"To construct interior alterations in an existing high rise office building.  Washrooms, public corridors & elevator lobby architectural finishes upgrades.  29th floor, Bell Tower.",Office Buildings (520),(03) Interior Alterations,199000,,0,10104 - 103 AVENUE NW,Plan 8021480 Blk 1 Lot B,CCA,1090,DOWNTOWN,Downtown,1,53.54504603629585,-113.49463369480935,"{'latitude': '53.54504603629585', 'longitude': '-113.49463369480935', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.49463369480935, 53.54504603629585]}",
12-285962057,2018-11-27T00:00:00.000,2018-11-27T00:00:00.000,2018,11,Commercial Final,"To construct FOOTINGS AND FOUNDATIONS ONLY for future addition to an assembly building (""Oblates Mansion""; addition is a 41 m2 rear stairwell and elevator).",Office Buildings (520),(04) Footing & Foundation,35000,,0,9918 - 110 STREET NW,Plan NB Blk 10 Lots 62-63,DC1,1151,WÎHKWÊNTÔWIN,,1,53.53787771348475,-113.51079800462082,"{'latitude': '53.53787771348475', 'longitude': '-113.51079800462082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.51079800462082, 53.53787771348475]}",
2-158416474,2016-05-03T00:00:00.000,2016-05-03T00:00:00.000,2016,5,Commercial Final,To construct exterior alterations (barrier free access ramp and new stair) to a Religious Assembly building.,Religious Buildings (660),(03) Exterior Alterations,87475,,0,8403 - 104 STREET NW,Plan 3022HW Blk 86 Lot 3,DC1,5480,STRATHCONA,Old Strathcona,1,53.52029897049566,-113.49694028482483,"{'latitude': '53.52029897049566', 'longitude': '-113.49694028482483', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.49694028482483, 53.52029897049566]}",
