permitnum,statuscurrent,applieddate,issueddate,completeddate,permittype,permittypemapped,permitclass,permitclassgroup,permitclassmapped,workclass,workclassgroup,workclassmapped,description,applicantname,housingunits,estprojectcost,originaladdress,communitycode,communityname,latitude,longitude,locationcount,locationtypes,locationaddresses,locationswkt,locationsgeojson,point,contractorname
BP2020-03448,Completed,2020-03-23T00:00:00.000,2020-05-13T00:00:00.000,2020-05-29T00:00:00.000,Commercial / Multi Family Project,Building,3399 - Motor-Vehicle Misc.,Commercial,Non-Residential,Alteration,Improvement,Existing,Burbank Ramp,,0,8500,5721 BURBANK RD SE,BUR,BURNS INDUSTRIAL,51.00322188698969,-114.04790611836903,3,Titled Parcel;Building;Building Suite,5716 BURBANK CR SE;5715 BURBANK RD SE;5721 BURBANK RD SE,"MULTIPOINT (-114.04790611836903 51.00322188698969,-114.04580139122568 51.0034108514902,-114.04602995025355 51.00363447278163)","{""type"":""MultiPoint"",""coordinates"":[[-114.0479061,51.0032219],[-114.0458014,51.0034109],[-114.04603,51.0036345]]}","{'type': 'Point', 'coordinates': [-114.04790611836903, 51.00322188698969]}",
BP2010-06650,Completed,2010-05-26T00:00:00.000,2010-06-15T00:00:00.000,2012-02-03T00:00:00.000,Commercial / Multi Family Project,Building,4002 - Vacant,General,Non-Residential,Alteration,Improvement,Existing,Barrier Free Washroom,VIPER MECHANICAL PLUMBING & HEATING,0,5000,#28 4216 54 AV SE,FHI,FOOTHILLS,51.003869369776936,-113.97509444321652,3,Titled Parcel;Building;Building Suite,4216 54 AV SE;4216 54 AV SE;#28 4216 54 AV SE,"MULTIPOINT (-113.97509444321652 51.003869369776936,-113.97592528455974 51.004792984725135,-113.97567103461981 51.00457864231508)","{""type"":""MultiPoint"",""coordinates"":[[-113.9750944,51.0038694],[-113.9759253,51.004793],[-113.975671,51.0045786]]}","{'type': 'Point', 'coordinates': [-113.97509444321652, 51.003869369776936]}",VIPER MECHANICAL PLUMBING & HEATING
BP2016-06163,Completed,2016-06-06T00:00:00.000,2016-06-07T00:00:00.000,2017-06-22T00:00:00.000,Commercial / Multi Family Project,Building,5115 - University Of Calgary,Institutional,Non-Residential,Alteration,Improvement,Existing,Fire Alarm Upgrades - Health Science Centre Elevators,CANEM SYSTEMS,0,37960,3330 HOSPITAL DR NW,STA,ST. ANDREWS HEIGHTS,51.06659297386223,-114.13282305336956,2,Titled Parcel;Building,3330 HOSPITAL DR NW;3330 HOSPITAL DR NW,"MULTIPOINT (-114.13282305336956 51.06659297386223,-114.1338548708261 51.065762820274024)","{""type"":""MultiPoint"",""coordinates"":[[-114.1328231,51.066593],[-114.1338549,51.0657628]]}","{'type': 'Point', 'coordinates': [-114.13282305336956, 51.06659297386223]}",CANEM SYSTEMS
BP2007-08294,Cancelled,2007-06-05T00:00:00.000,,2011-02-11T00:00:00.000,Commercial / Multi Family Project,Building,3499 - Office/Bank/Professional Misc.,Commercial,Non-Residential,Alteration,Improvement,Existing,Elevator Addition,C & H DEVELOPMENTS INC..,0,,2616 18 ST NE,SAW,SOUTH AIRWAYS,51.07584440398395,-114.01439028578375,1,Titled Parcel,2616 18 ST NE,POINT (-114.01439028578375 51.07584440398395),"{""type"":""Point"",""coordinates"":[-114.0143903,51.0758444]}","{'type': 'Point', 'coordinates': [-114.01439028578375, 51.07584440398395]}",
BP2018-05780,Completed,2018-05-16T00:00:00.000,2018-06-01T00:00:00.000,2018-06-13T00:00:00.000,Commercial / Multi Family Project,Building,3510 - Recreation Facility,Commercial,Non-Residential,New,New,New,88 Express Unload Ramp with Calgary Olimpic Development Association,CALGARY OLYMPIC DEVELOPMENT ASSOCIATION,0,1500,8800 CANADA OLYMPIC DR SW,COP,CANADA OLYMPIC PARK,51.082442644362324,-114.21375098423448,1,Titled Parcel,8800 CANADA OLYMPIC DR SW,POINT (-114.21375098423448 51.082442644362324),"{""type"":""Point"",""coordinates"":[-114.213751,51.0824426]}","{'type': 'Point', 'coordinates': [-114.21375098423448, 51.082442644362324]}",
BP2009-01996,Completed,2009-03-18T00:00:00.000,2009-03-31T00:00:00.000,2009-12-29T00:00:00.000,Commercial / Multi Family Project,Building,2349 - Indust/Transportation Misc.,Industrial,Non-Residential,Alteration,Improvement,Existing,Exterior Renovation; Ramp; Bay Doors,RICK BALBI ARCHITECT LTD,0,50000,4601 46 AV SE,EFI,EASTFIELD,51.013119333411026,-113.96678403298334,2,Titled Parcel;Building,4601 46 AV SE;4601 46 AV SE,"MULTIPOINT (-113.96678403298334 51.013119333411026,-113.96646082027657 51.01296351108776)","{""type"":""MultiPoint"",""coordinates"":[[-113.966784,51.0131193],[-113.9664608,51.0129635]]}","{'type': 'Point', 'coordinates': [-113.96678403298334, 51.013119333411026]}",
BP2014-16228,Completed,2014-10-15T00:00:00.000,2014-10-31T00:00:00.000,2015-11-02T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Parkade ramp repair,RESCON CONCRETE RESTORATIONS,0,40500,635 8 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.04575186464155,-114.07583848527788,2,Titled Parcel;Building,635 8 AV SW;635 8 AV SW,"MULTIPOINT (-114.07583848527788 51.04575186464155,-114.07585029040577 51.045627816642394)","{""type"":""MultiPoint"",""coordinates"":[[-114.0758385,51.0457519],[-114.0758503,51.0456278]]}","{'type': 'Point', 'coordinates': [-114.07583848527788, 51.04575186464155]}",RESCON CONCRETE RESTORATIONS
BP2009-05930,Completed,2009-06-12T00:00:00.000,2009-06-25T00:00:00.000,2009-12-21T00:00:00.000,Commercial / Multi Family Project,Building,5401 - Church,Institutional,Non-Residential,Alteration,Improvement,Existing,New Bimah Ramp,GOODMAN ARCHITECTURE,0,5000,1325 GLENMORE TR SW,KEL,KELVIN GROVE,50.99388952028905,-114.09147139343385,2,Titled Parcel;Building,1325 GLENMORE TR SW;1325 GLENMORE TR SW,"MULTIPOINT (-114.09147139343385 50.99388952028905,-114.0915740970922 50.99355498278307)","{""type"":""MultiPoint"",""coordinates"":[[-114.0914714,50.9938895],[-114.0915741,50.993555]]}","{'type': 'Point', 'coordinates': [-114.09147139343385, 50.99388952028905]}",ENG CAN CONTRACTING
BP2020-03846,Completed,2020-03-31T00:00:00.000,2020-04-13T00:00:00.000,2021-01-06T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,D Office Elevator Lobby Area Renovations,CHOICE SPECIALTY SERVICES,0,95000,#1100 324 8 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.04585861220883,-114.06928788067185,5,Titled Parcel;Titled Parcel;Titled Parcel;Building;Building Suite,328 8 AV SW;320 8 AV SW;324 8 AV SW;324 8 AV SW;#1100 324 8 AV SW,"MULTIPOINT (-114.06928788067185 51.04585861220883,-114.06883477594383 51.04584559311116,-114.06910730167886 51.045854224252224,-114.06909649699809 51.04600146447996,-114.06909837768546 51.046000276723454)","{""type"":""MultiPoint"",""coordinates"":[[-114.0692879,51.0458586],[-114.0688348,51.0458456],[-114.0691073,51.0458542],[-114.0690965,51.0460015],[-114.0690984,51.0460003]]}","{'type': 'Point', 'coordinates': [-114.06928788067185, 51.04585861220883]}",CHOICE SPECIALTY SERVICES
BP2015-13505,Completed,2015-10-15T00:00:00.000,2015-12-09T00:00:00.000,2016-12-19T00:00:00.000,Commercial / Multi Family Project,Building,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,Alteration,Improvement,Existing,Purolator Facility Interior Loading Ramp Addition,ABBARCH ARCHITECTURE,0,120000,30 AERO DR NE,CIA,CALGARY INTERNATIONAL AIRPORT,51.13440933289924,-114.00193422649242,2,Titled Parcel;Building,8925 BARLOW TR NE;30 AERO DR NE,"MULTIPOINT (-114.00193422649242 51.13440933289924,-114.03398154697548 51.12092088564939)","{""type"":""MultiPoint"",""coordinates"":[[-114.0019342,51.1344093],[-114.0339815,51.1209209]]}","{'type': 'Point', 'coordinates': [-114.00193422649242, 51.13440933289924]}",
BP2021-03300,File Closed,2021-03-04T00:00:00.000,2021-05-27T00:00:00.000,2024-04-19T00:00:00.000,Commercial / Multi Family Project,Building,2382 - Water Pumping Station,Industrial,Non-Residential,New,New,New,Copperfield Lift Station Retaining Wall,NAK DESIGN STRATEGIES,0,75000,1281 COPPERFIELD BV SE,CPF,COPPERFIELD,50.91363245175857,-113.92478439267938,1,Titled Parcel,1281 COPPERFIELD BV SE,POINT (-113.92478439267938 50.91363245175857),"{""type"":""Point"",""coordinates"":[-113.9247844,50.9136325]}","{'type': 'Point', 'coordinates': [-113.92478439267938, 50.91363245175857]}",
BP2012-07771,Completed,2012-06-13T00:00:00.000,2012-07-13T00:00:00.000,2012-07-20T00:00:00.000,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,Alteration,Improvement,Existing,NEW EXTERIOR RAMP AND DOOR,STARCRAFT CONSTRUCTION,0,60000,9168 52 ST SE,S23,SECTION 23,50.97180460124332,-113.95808888875662,3,Titled Parcel;Building;Entryway,9104 52 ST SE;9104 52 ST SE;9168 52 ST SE,"MULTIPOINT (-113.95808888875662 50.97180460124332,-113.95701684138238 50.97131564947956,-113.95746609378402 50.971085574943054)","{""type"":""MultiPoint"",""coordinates"":[[-113.9580889,50.9718046],[-113.9570168,50.9713156],[-113.9574661,50.9710856]]}","{'type': 'Point', 'coordinates': [-113.95808888875662, 50.97180460124332]}",STARCRAFT CONSTRUCTION
BP2014-05442,Completed,2014-04-22T00:00:00.000,2014-05-08T00:00:00.000,2015-11-17T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Leasehold (new barrier free washrooms and finishes),CORNAD CONTRACTING,0,90000,#201 718 8 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.046089342322595,-114.07746496674244,3,Titled Parcel;Building;Building Suite,718 8 AV SW;718 8 AV SW;#201 718 8 AV SW,"MULTIPOINT (-114.07746496674244 51.046089342322595,-114.07741984184005 51.046233010167946,-114.07741984184005 51.046233010167946)","{""type"":""MultiPoint"",""coordinates"":[[-114.077465,51.0460893],[-114.0774198,51.046233],[-114.0774198,51.046233]]}","{'type': 'Point', 'coordinates': [-114.07746496674244, 51.046089342322595]}",CORNAD CONTRACTING
BP2011-08125,Completed,2011-07-06T00:00:00.000,2011-07-19T00:00:00.000,2011-12-30T00:00:00.000,Commercial / Multi Family Project,Building,"5112 - School, Sait",Institutional,Non-Residential,Alteration,Improvement,Existing,Elevator Lobbby and washrooms,STARCRAFT CONSTRUCTION,0,200000,123 DR CARPENTER CI NW,HIL,HILLHURST,51.06666946663131,-114.08977833911267,2,Titled Parcel;Building,1301 16 AV NW;123 DR CARPENTER CI NW,"MULTIPOINT (-114.08977833911267 51.06666946663131,-114.08669567386765 51.06386629582001)","{""type"":""MultiPoint"",""coordinates"":[[-114.0897783,51.0666695],[-114.0866957,51.0638663]]}","{'type': 'Point', 'coordinates': [-114.08977833911267, 51.06666946663131]}",STARCRAFT CONSTRUCTION
BP2016-10635,Completed,2016-09-09T00:00:00.000,2016-10-25T00:00:00.000,2016-11-09T00:00:00.000,Commercial / Multi Family Project,Building,3399 - Motor-Vehicle Misc.,Commercial,Non-Residential,Alteration,Improvement,Existing,ACCESSIBLE VEHICLE SOLUTIONS,ACCESSIBLE VEHICLE SOLUTIONS,0,,#14 1231 36 AV NE,MCI,MCCALL,51.085214083039745,-114.03314618087944,3,Titled Parcel;Building;Building Suite,1231 36 AV NE;1231 36 AV NE;#14 1231 36 AV NE,"MULTIPOINT (-114.03314618087944 51.085214083039745,-114.03221605107392 51.084910779828014,-114.03221605107392 51.084910779828014)","{""type"":""MultiPoint"",""coordinates"":[[-114.0331462,51.0852141],[-114.0322161,51.0849108],[-114.0322161,51.0849108]]}","{'type': 'Point', 'coordinates': [-114.03314618087944, 51.085214083039745]}",
BP2014-16193,Completed,2014-10-15T00:00:00.000,2014-10-30T00:00:00.000,2015-04-09T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Elevator and public corridor finishes,ELLISDON CONSTRUCTION,0,283500,#900 401 9 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.0446755664896,-114.07078276701799,3,Titled Parcel;Building;Building Suite,401 9 AV SW;401 9 AV SW;#900 401 9 AV SW,"MULTIPOINT (-114.07078276701799 51.0446755664896,-114.06969771277159 51.04428120962076,-114.06973189904807 51.04442627456306)","{""type"":""MultiPoint"",""coordinates"":[[-114.0707828,51.0446756],[-114.0696977,51.0442812],[-114.0697319,51.0444263]]}","{'type': 'Point', 'coordinates': [-114.07078276701799, 51.0446755664896]}",ELLISDON CONSTRUCTION
BP2020-01003,Completed,2020-01-28T00:00:00.000,2020-02-04T00:00:00.000,2020-06-05T00:00:00.000,Commercial / Multi Family Project,Building,3499 - Office/Bank/Professional Misc.,Commercial,Non-Residential,Fire/ Security Alarm,Unspecified,,Fire Alarm System Modification - Relocation of Elevator Control Relays,HIGH LINE ELECTRICAL CONSTRUCTORS,0,51000,#1000 700 4 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.049859051161256,-114.07648131538893,54,Titled Parcel;Building;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Entryway,700 4 AV SW;700 4 AV SW;#1400 700 4 AV SW;#1610 700 4 AV SW;#1680 700 4 AV SW;#780 700 4 AV SW;#B 700 4 AV SW;#320 700 4 AV SW;#1170 700 4 AV SW;#1000 700 4 AV SW;#340 700 4 AV SW;#300 700 4 AV SW;#260 700 4 AV SW;#420 700 4 AV SW;#310 700 4 AV SW;#150 700 4 AV SW;#600 700 4 AV SW;#840 700 4 AV SW;#300V 700 4 AV SW;#1120 700 4 AV SW;#480 700 4 AV SW;#1220 700 4 AV SW;#1200 700 4 AV SW;#500 700 4 AV SW;#850 700 4 AV SW;#240 700 4 AV SW;#1100 700 4 AV SW;#900 700 4 AV SW;#610 700 4 AV SW;#1080 700 4 AV SW;#1900 700 4 AV SW;#1520 700 4 AV SW;#700 700 4 AV SW;#750 700 4 AV SW;#1510 700 4 AV SW;#1800 700 4 AV SW;#220 700 4 AV SW;#650 700 4 AV SW;#1070 700 4 AV SW;#1700 700 4 AV SW;#410 700 4 AV SW;#1500 700 4 AV SW;#1180 700 4 AV SW;#855 700 4 AV SW;#1640 700 4 AV SW;#800 700 4 AV SW;#470 700 4 AV SW;#2001P 700 4 AV SW;#180 700 4 AV SW;#1660 700 4 AV SW;#1250 700 4 AV SW;#250 700 4 AV SW;#1820 700 4 AV SW;710 4 AV SW,"MULTIPOINT (-114.07648131538893 51.049859051161256,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648476590226 51.05000568932485,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932,-114.07648743295474 51.05000569656932)","{""type"":""MultiPoint"",""coordinates"":[[-114.0764813,51.0498591],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764848,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057],[-114.0764874,51.0500057]]}","{'type': 'Point', 'coordinates': [-114.07648131538893, 51.049859051161256]}",
BP2005-08646,Completed,2005-06-15T00:00:00.000,2005-06-29T00:00:00.000,2007-09-28T00:00:00.000,Commercial / Multi Family Project,Building,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,New,New,New Telus Mobility Equipment Shelter,CUSTOM RIGGERS,0,75000,8055 80 AV NE,TAR,TARADALE,51.11176083139917,-113.91206377460772,2,Titled Parcel;Building,6969 84 ST NE;8055 80 AV NE,"MULTIPOINT (-113.91206377460772 51.11176083139917,-113.91938274126193 51.12499264340036)","{""type"":""MultiPoint"",""coordinates"":[[-113.9120638,51.1117608],[-113.9193827,51.1249926]]}","{'type': 'Point', 'coordinates': [-113.91206377460772, 51.11176083139917]}",CUSTOM RIGGERS
BP2017-02374,Completed,2017-03-15T00:00:00.000,2017-03-23T00:00:00.000,2017-08-21T00:00:00.000,Commercial / Multi Family Project,Building,4002 - Vacant,General,Non-Residential,Repair,Improvement,Existing,Interior Alteration - Elevator/Fire Alarm Upgrades,PETERSEN CONTRACTING,0,39000,209 8 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.04551934340033,-114.06617896109638,2,Titled Parcel;Building,209 8 AV SW;209 8 AV SW,"MULTIPOINT (-114.06617896109638 51.04551934340033,-114.06618986696326 51.04537665217966)","{""type"":""MultiPoint"",""coordinates"":[[-114.066179,51.0455193],[-114.0661899,51.0453767]]}","{'type': 'Point', 'coordinates': [-114.06617896109638, 51.04551934340033]}",PETERSEN CONTRACTING
