point,permitnum,address,category,description,proposedusecode,proposedusedescription,permitteddiscretionary,landusedistrict,landusedistrictdescription,statuscurrent,applieddate,decisiondate,releasedate,mustcommencedate,decision,decisionby,communitycode,communityname,ward,quadrant,latitude,longitude,locationcount,locationtypes,locationaddresses,locationsgeojson,locationswkt,canceledrefuseddate,sdabhearingdate,sdabnumber,sdabdecision,sdabdecisiondate
"{'type': 'Point', 'coordinates': [-114.0674637172188, 50.99525933776965]}",DP2017-3073,6514 1A ST SW,Renovations - Non-Residential,"CHANGE OF USE: COUNSELLING SERVICE, EXTERIOR RENOVATIONS: COUNSELLING SERVICE (RAMP) - 8 PARKING STALL RELAXATION",C2110,OFFICE,Permitted with a Relaxation,C-COR3 f1.0h12,Commercial - Corridor 3,Released,2017-07-10T00:00:00.000,2017-08-30T00:00:00.000,2017-09-26T00:00:00.000,2019-08-30T00:00:00.000,Approval,Development Authority,MNI,MANCHESTER INDUSTRIAL,9,SW,50.99525933776965,-114.06746371721879,3,Titled Parcel;Building;Entryway,6420 1A ST SW;6500 1A ST SW;6514 1A ST SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0674637,50.9952593],[-114.0669794,50.9947704],[-114.0670881,50.9946679]]}","MULTIPOINT (-114.06746371721879 50.99525933776965,-114.06697938006164 50.994770444845656,-114.06708806638277 50.99466789863396)",,,,,
"{'type': 'Point', 'coordinates': [-114.00639218780462, 51.052328150421204]}",DP2019-0003,2015 CENTRE AV SE,Renovations - Non-Residential,"EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - MEDIUM (REFURBISH BUILDING FACADE), CHANGES TO SITE PLAN: GENERAL INDUSTRIAL- MEDIUM (NEW RAMP)",C1686,GENERAL INDUSTRIAL - MEDIUM,Discretionary,I-G,Industrial - General,Released,2019-01-02T00:00:00.000,2019-03-01T00:00:00.000,2019-03-29T00:00:00.000,2021-03-01T00:00:00.000,Approval,Development Authority,MLI,MAYLAND,10,SE,51.052328150421204,-114.00639218780462,2,Titled Parcel;Building,2015 CENTRE AV SE;2015 CENTRE AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0063922,51.0523282],[-114.0068142,51.0518312]]}","MULTIPOINT (-114.00639218780462 51.052328150421204,-114.00681424143434 51.051831237691204)",,,,,
"{'type': 'Point', 'coordinates': [-114.04483052061506, 51.01618188664532]}",DP2019-5334,808 42 AV SE,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: OFFICE (BICYCLE RACK, CURB MODIFICATION & LOADING RAMP); EXTERIOR RENOVATIONS: OFFICE (1 NEW OVERHEAD DOOR, 3 NEW DOORS, LIGHTING, REFURBISH BUILDING FACADE)",C2110,OFFICE,Discretionary,I-G,Industrial - General,Released,2019-10-11T00:00:00.000,2019-11-29T00:00:00.000,2020-02-03T00:00:00.000,2021-11-29T00:00:00.000,Approval,Development Authority,HIF,HIGHFIELD,9,SE,51.01618188664532,-114.04483052061506,3,Titled Parcel;Building;Building,808 42 AV SE;4242 7 ST SE;808 42 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0448305,51.0161819],[-114.0451744,51.0168512],[-114.0440513,51.0164839]]}","MULTIPOINT (-114.04483052061506 51.01618188664532,-114.04517439867475 51.01685117797659,-114.04405128651351 51.01648387993077)",,,,,
"{'type': 'Point', 'coordinates': [-114.04790611836903, 51.00322188698969]}",DP2020-2118,5721 BURBANK RD SE,Renovations - Non-Residential,CHANGES TO SITE PLAN: AUTO SERVICE - MAJOR (CONCRETE RAMP),C1150,AUTO SERVICE - MAJOR,Permitted,I-G,Industrial - General,Released,2020-04-06T00:00:00.000,2020-04-27T00:00:00.000,2020-04-29T00:00:00.000,2022-04-27T00:00:00.000,Approval,Development Authority,BUR,BURNS INDUSTRIAL,9,SE,51.00322188698969,-114.04790611836903,3,Titled Parcel;Building;Building Suite,5716 BURBANK CR SE;5715 BURBANK RD SE;5721 BURBANK RD SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0479061,51.0032219],[-114.0458014,51.0034109],[-114.04603,51.0036345]]}","MULTIPOINT (-114.04790611836903 51.00322188698969,-114.04580139122568 51.0034108514902,-114.04602995025355 51.00363447278163)",,,,,
"{'type': 'Point', 'coordinates': [-113.96141731244568, 50.96123833588355]}",DP2018-0630,10450 50 ST SE,Renovations - Non-Residential,"EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (NEW LOADING DOOR AND RAMP, NEW WINDOWS, DOOR ENTRY)",C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Released,2018-02-16T00:00:00.000,2018-02-21T00:00:00.000,2018-03-27T00:00:00.000,2020-02-21T00:00:00.000,Approval,Development Authority,ESH,EAST SHEPARD INDUSTRIAL,12,SE,50.96123833588355,-113.96141731244568,2,Titled Parcel;Building,10450 50 ST SE;10450 50 ST SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9614173,50.9612383],[-113.9604346,50.9602832]]}","MULTIPOINT (-113.96141731244568 50.96123833588355,-113.96043458108579 50.96028321172495)",,,,,
"{'type': 'Point', 'coordinates': [-114.1068106233237, 51.04437182353419]}",DP2017-2909,#A 2001 10 AV SW,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: & EXTERIOR RENOVATIONS: ARTIST'S STUDIO, INSTRUCTIONAL FACILITY (NEW ACCESS RAMP AND NEW EXTERIOR ENTRY DOOR)",C1090; C1835,ARTIST'S STUDIO; INSTRUCTIONAL FACILITY,Discretionary,DC,Direct Control (1P2007),Released,2017-06-29T00:00:00.000,2017-07-27T00:00:00.000,2017-11-30T00:00:00.000,2020-07-27T00:00:00.000,Approval,Development Authority,SNA,SUNALTA,8,SW,51.04437182353419,-114.1068106233237,7,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Building;Building Suite;Entryway,2005 10 AV SW;2017 10 AV SW;2009 10 AV SW;2011 10 AV SW;2017 10 AV SW;#A 2001 10 AV SW;2001 10 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1068106,51.0443718],[-114.1076735,51.0444395],[-114.1071514,51.0444248],[-114.1074563,51.0444333],[-114.1073324,51.0443234],[-114.1073324,51.0443234],[-114.1073324,51.0443234]]}","MULTIPOINT (-114.1068106233237 51.04437182353419,-114.10767352738641 51.0444394526644,-114.10715137235835 51.04442480280126,-114.10745632519081 51.04443334176276,-114.10733240373337 51.04432340326937,-114.10733240373337 51.04432340326937,-114.10733240373337 51.04432340326937)",,,,,
"{'type': 'Point', 'coordinates': [-114.0652318409401, 51.03692964018472]}",DP2017-5630,141 18 AV SW,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: INSTRUCTIONAL FACILITY (PARKING & ACCESS RAMP), EXTERIOR RENOVATIONS: INSTRUCTIONAL FACILITY (REFURBISH BUILDING FACADE)",C1835,INSTRUCTIONAL FACILITY,Discretionary,S-CI,Special Purpose - Community Institution,Released,2017-12-08T00:00:00.000,2018-01-10T00:00:00.000,2019-03-06T00:00:00.000,2021-01-10T00:00:00.000,Approval,Development Authority,MIS,MISSION,11,SW,51.03692964018472,-114.0652318409401,2,Titled Parcel;Building,141 18 AV SW;141 18 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0652318,51.0369296],[-114.0654456,51.0368352]]}","MULTIPOINT (-114.0652318409401 51.03692964018472,-114.06544560989032 51.03683517328634)",,,,,
"{'type': 'Point', 'coordinates': [-114.078327618055, 50.94774406224428]}",DP2018-1650,395 CANTERBURY DR SW,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: SCHOOL AUTHORITY - SCHOOL (NEW RAMP AND STAIRS),C2580,SCHOOL AUTHORITY - SCHOOL,Permitted,S-SPR,"Special Purpose - School, Park and Community Reserve",Lapsed,2018-04-23T00:00:00.000,2018-06-05T00:00:00.000,,2020-06-05T00:00:00.000,Approval,Development Authority,CAN,CANYON MEADOWS,13,SW,50.94774406224428,-114.078327618055,1,Titled Parcel,395 CANTERBURY DR SW,"{""type"":""Point"",""coordinates"":[-114.0783276,50.9477441]}",POINT (-114.078327618055 50.94774406224428),2020-06-05T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.0414821051473, 51.11033679735407]}",DP2019-3022,#1120 901 64 AV NE,Change of Use - With Change to Site Plan,"CHANGE OF USE: LIQUOR STORE; CHANGES TO SITE PLAN: LIQUOR STORE (PARKING, RAMP); EXTERIOR RENOVATIONS: LIQUOR STORE (WEST BUILDING FACADE, DOORS)",C1910,LIQUOR STORE,Discretionary,C-R3 f0.33h18,Commercial - Regional 3,Released,2019-06-12T00:00:00.000,2019-07-23T00:00:00.000,2019-08-23T00:00:00.000,2021-07-23T00:00:00.000,Approval,Development Authority,DBC,DEERFOOT BUSINESS CENTRE,5,NE,51.11033679735407,-114.0414821051473,3,Titled Parcel;Building;Building Suite,901 64 AV NE;#1000 901 64 AV NE;#1120 901 64 AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0414821,51.1103368],[-114.043669,51.1089404],[-114.0436642,51.1088036]]}","MULTIPOINT (-114.0414821051473 51.11033679735407,-114.0436690374223 51.108940369552336,-114.04366418175626 51.10880361205738)",,,,,
"{'type': 'Point', 'coordinates': [-113.95117969491065, 50.97583402462008]}",DP2017-3170,6075 86 AV SE,Renovations - Non-Residential,EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (NEW OVERHEAD DOOR & RAMP),C1685,GENERAL INDUSTRIAL - LIGHT,Permitted,I-G,Industrial - General,Released,2017-07-13T00:00:00.000,2017-08-01T00:00:00.000,2017-08-01T00:00:00.000,2019-08-01T00:00:00.000,Approval,Development Authority,S23,SECTION 23,12,SE,50.97583402462008,-113.95117969491064,2,Titled Parcel;Building,6075 86 AV SE;6075 86 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9511797,50.975834],[-113.9499724,50.974855]]}","MULTIPOINT (-113.95117969491064 50.97583402462008,-113.94997241004371 50.97485495165363)",,,,,
"{'type': 'Point', 'coordinates': [-114.20301374020086, 51.12315961393285]}",DP2022-00037,6 CROWFOOT CI NW,Commercial - Other Areas,ADDITION: MULTI-USE COMMERCIAL (ELEVATOR SHAFT),B6700; B7850; B7880,OFFICES; RESTAURANT / DRINKING ESTABLISHMENT; RETAIL STORE,Discretionary,DC,DIRECT CONTROL DISTRICT                                 ,Released,2022-01-04T00:00:00.000,2022-02-17T00:00:00.000,2022-03-17T00:00:00.000,2025-02-17T00:00:00.000,Approval,Development Authority,ARB,ARBOUR LAKE,2,NW,51.123,-114.203,2,Titled Parcel;Building,10 CROWFOOT CI NW;6 CROWFOOT CI NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.2030137,51.1231596],[-114.2031545,51.1234]]}","MULTIPOINT ((-114.20301374020086 51.12315961393285),(-114.20315447135042 51.123400039750784))",,,,,
"{'type': 'Point', 'coordinates': [-114.06433380472666, 50.97579468714732]}",DP2021-4306,315 86 AV SE,Temporary Structure,"CHANGES TO SITE PLAN: SCHOOL AUTHORITY - SCHOOL (PORTABLE CLASSROOMS, RAMP AND BICYCLE PARKING)",C2580,SCHOOL AUTHORITY - SCHOOL,Permitted,S-CS,Special Purpose - Community Service,Released,2021-06-14T00:00:00.000,2021-07-22T00:00:00.000,2021-07-22T00:00:00.000,2023-07-22T00:00:00.000,Approval,Development Authority,ACA,ACADIA,11,SE,50.97579468714732,-114.06433380472666,2,Titled Parcel;Building,315 86 AV SE;315 86 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0643338,50.9757947],[-114.0650625,50.9753211]]}","MULTIPOINT (-114.06433380472666 50.97579468714732,-114.0650624904079 50.97532112126021)",,,,,
"{'type': 'Point', 'coordinates': [-113.96543099314697, 50.95625920670481]}",DP2019-5507,#147 10905 48 ST SE,Renovations - Non-Residential,"EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (NEW LOADING DOOR, RAMP)",C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Released,2019-10-23T00:00:00.000,2019-12-02T00:00:00.000,2019-12-27T00:00:00.000,2021-12-02T00:00:00.000,Approval,Development Authority,ESH,EAST SHEPARD INDUSTRIAL,12,SE,50.9562592067048,-113.96543099314697,3,Titled Parcel;Building;Building Suite,10905 48 ST SE;10905 48 ST SE;#147 10905 48 ST SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.965431,50.9562592],[-113.9662156,50.9566234],[-113.9662156,50.9566234]]}","MULTIPOINT (-113.96543099314697 50.9562592067048,-113.96621556601869 50.95662341813091,-113.96621556601869 50.95662341813091)",,,,,
"{'type': 'Point', 'coordinates': [-113.97229903538876, 50.99916053943751]}",DP2019-0310,#15 4216 61 AV SE,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (NEW BAY DOOR, RAMP & PARKING)",C1685,GENERAL INDUSTRIAL - LIGHT,Permitted,I-G,Industrial - General,Released,2019-01-21T00:00:00.000,2019-02-26T00:00:00.000,2019-02-27T00:00:00.000,2021-02-26T00:00:00.000,Approval,Development Authority,FHI,FOOTHILLS,9,SE,50.99916053943751,-113.97229903538876,3,Titled Parcel;Building;Building Suite,4216 61 AV SE;4216 61 AV SE;#15 4216 61 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.972299,50.9991605],[-113.9733255,50.9996347],[-113.974202,50.9995791]]}","MULTIPOINT (-113.97229903538876 50.99916053943751,-113.97332554831046 50.99963472972477,-113.9742019852249 50.999579099851346)",,,,,
"{'type': 'Point', 'coordinates': [-114.04565253661652, 51.02211473780397]}",DP2021-7334,3636 7 ST SE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN:  MULTI-USE INDUSTRIAL (PARKING RAMP),C9999,OTHER,Permitted,I-G,Industrial - General,Released,2021-10-13T00:00:00.000,2022-01-06T00:00:00.000,2022-01-06T00:00:00.000,2024-01-06T00:00:00.000,Approval,Development Authority,HIF,HIGHFIELD,9,SE,51.022,-114.046,2,Titled Parcel;Building,3636 7 ST SE;3636 7 ST SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0456525,51.0221147],[-114.0451816,51.0220036]]}","MULTIPOINT ((-114.04565253661652 51.02211473780397),(-114.04518158656222 51.02200364548066))",,,,,
"{'type': 'Point', 'coordinates': [-114.078327618055, 50.94774406224428]}",DP2021-1367,395 CANTERBURY DR SW,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: SCHOOL AUTHORITY - SCHOOL (NEW RAMP AND STAIRS),C2580,SCHOOL AUTHORITY - SCHOOL,Permitted,S-SPR,"Special Purpose - School, Park and Community Reserve",Released,2021-03-03T00:00:00.000,2021-06-17T00:00:00.000,2021-06-29T00:00:00.000,2023-06-17T00:00:00.000,Approval,Development Authority,CAN,CANYON MEADOWS,13,SW,50.94774406224428,-114.078327618055,2,Titled Parcel;Building,395 CANTERBURY DR SW;395 CANTERBURY DR SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0783276,50.9477441],[-114.0780912,50.9474104]]}","MULTIPOINT (-114.078327618055 50.94774406224428,-114.07809115276196 50.94741036322724)",,,,,
"{'type': 'Point', 'coordinates': [-113.99311648302334, 51.0620365189874]}",DP2021-6315,#128 1220 28 ST NE,Change of Use - With Change to Site Plan,EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (NEW BAY DOOR & RAMP),C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Released,2021-09-03T00:00:00.000,2021-10-13T00:00:00.000,2021-11-19T00:00:00.000,2023-10-12T00:00:00.000,Approval,Development Authority,FRA,FRANKLIN,10,NE,51.062,-113.993,3,Titled Parcel;Building;Building Suite,1220 28 ST NE;1220 28 ST NE;#128 1220 28 ST NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9931165,51.0620365],[-113.9925401,51.0626595],[-113.9926164,51.0628577]]}","MULTIPOINT ((-113.99311648302334 51.0620365189874),(-113.99254013868897 51.062659488219815),(-113.99261641671147 51.06285768909276))",,,,,
"{'type': 'Point', 'coordinates': [-114.19822586725697, 51.12616666589452]}",DP2018-2353,60 CROWFOOT CR NW,Renovations - Non-Residential,CHANGES TO SITE PLAN: RETAIL STORE (WHEELCHAIR RAMP),B7880,RETAIL STORE,Discretionary,DC,DIRECT CONTROL DISTRICT,Released,2018-05-16T00:00:00.000,2018-11-02T00:00:00.000,2018-12-20T00:00:00.000,2021-11-02T00:00:00.000,Approval,Development Authority,ARB,ARBOUR LAKE,2,NW,51.12616666589452,-114.19822586725695,2,Titled Parcel;Building,60 CROWFOOT CR NW;60 CROWFOOT CR NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1982259,51.1261667],[-114.19745,51.1260535]]}","MULTIPOINT (-114.19822586725695 51.12616666589452,-114.19744995679858 51.12605354059886)",,,,,
"{'type': 'Point', 'coordinates': [-113.9795186159842, 50.9580749290375]}",DP2019-0178,#2 4100 106 AV SE,Renovations - Non-Residential,"EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (LOADING RAMP, DUST COLLECTOR AND 2 OVERHEAD DOORS)",C1685,GENERAL INDUSTRIAL - LIGHT,Permitted,I-G,Industrial - General,Released,2019-01-14T00:00:00.000,2019-02-01T00:00:00.000,2019-02-04T00:00:00.000,2021-02-01T00:00:00.000,Approval,Development Authority,ESH,EAST SHEPARD INDUSTRIAL,12,SE,50.9580749290375,-113.9795186159842,3,Titled Parcel;Building;Building Suite,3900 106 AV SE;4100 106 AV SE;#2 4100 106 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9795186,50.9580749],[-113.9760811,50.9592446],[-113.9761204,50.9584853]]}","MULTIPOINT (-113.9795186159842 50.9580749290375,-113.97608113840346 50.95924457650065,-113.97612035915704 50.958485264477936)",,,,,
"{'type': 'Point', 'coordinates': [-114.0599618296658, 51.03020363392845]}",DP2020-8072,2505 MACLEOD TR SW,Renovations - Non-Residential,"EXTERIOR RENOVATIONS: MULTI-USE COMMERCIAL (REFURBISH BUILDING FACADE, NEW DOORS & WINDOWS, CURB CUT RAMPS); CHANGE OF USE: OFFICE, MEDICAL CLINIC, RETAIL AND CONSUMER SERVICES",C1990; C2110; C2515,MEDICAL CLINIC; OFFICE; RETAIL AND CONSUMER SERVICE,Discretionary,C-N2,Commercial - Neighbourhood 2,Released,2020-12-14T00:00:00.000,2021-01-11T00:00:00.000,2021-02-05T00:00:00.000,2023-01-11T00:00:00.000,Approval,Development Authority,ERL,ERLTON,11,SW,51.03020363392845,-114.0599618296658,2,Titled Parcel;Building,2505 MACLEOD TR SW;2505 MACLEOD TR SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0599618,51.0302036],[-114.0603857,51.0302027]]}","MULTIPOINT (-114.0599618296658 51.03020363392845,-114.06038570713845 51.030202696496026)",,,,,
"{'type': 'Point', 'coordinates': [-114.0400157539532, 50.99539614798348]}",DP2020-7291,#107 1135 64 AV SE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: BUILDING SUPPLY CENTRE (EXTERIOR RAMP),C1235,BUILDING SUPPLY CENTRE,Discretionary,I-G,Industrial - General,Released,2020-11-12T00:00:00.000,2020-12-14T00:00:00.000,2021-01-07T00:00:00.000,2022-12-14T00:00:00.000,Approval,Development Authority,BUR,BURNS INDUSTRIAL,9,SE,50.99539614798348,-114.0400157539532,3,Titled Parcel;Building;Building Suite,1135 64 AV SE;1135 64 AV SE;#107 1135 64 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0400158,50.9953961],[-114.0400612,50.9950422],[-114.0398397,50.9950707]]}","MULTIPOINT (-114.0400157539532 50.99539614798348,-114.04006124850942 50.99504222154889,-114.0398397142724 50.99507066914139)",,,,,
"{'type': 'Point', 'coordinates': [-114.03799327211054, 51.00194897940495]}",DP2018-4015,5883 11 ST SE,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: OFFICE (2 NEW DOORS, RAMP & PARKING)",C2110,OFFICE,Discretionary,I-C,Industrial - Commercial,Released,2018-08-22T00:00:00.000,2018-10-19T00:00:00.000,2018-12-20T00:00:00.000,2020-10-19T00:00:00.000,Approval,Development Authority,BUR,BURNS INDUSTRIAL,9,SE,51.00194897940495,-114.03799327211054,3,Titled Parcel;Building;Entryway,1212 58 AV SE;1212 58 AV SE;5883 11 ST SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0379933,51.001949],[-114.0380829,51.0023205],[-114.0382821,51.0024317]]}","MULTIPOINT (-114.03799327211054 51.00194897940495,-114.03808292234889 51.00232045367742,-114.03828205318135 51.0024317092847)",,,,,
"{'type': 'Point', 'coordinates': [-113.9737126826858, 50.98499877943534]}",DP2021-5861,#B 4441 76 AV SE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (ACCESS RAMP),C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Released,2021-08-16T00:00:00.000,2021-11-22T00:00:00.000,2021-12-17T00:00:00.000,2023-11-22T00:00:00.000,Approval,Development Authority,FHI,FOOTHILLS,9,SE,50.985,-113.974,3,Titled Parcel;Building;Building Suite,4441 76 AV SE;4441 76 AV SE;#B 4441 76 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9737127,50.9849988],[-113.9744854,50.9842127],[-113.9717225,50.9841771]]}","MULTIPOINT ((-113.9737126826858 50.98499877943534),(-113.97448538907204 50.98421266458431),(-113.9717225045164 50.9841771299953))",,,,,
"{'type': 'Point', 'coordinates': [-114.15855585181707, 51.035424162510516]}",DP2018-0137,4931 GROVE HILL RD SW,Renovations - Non-Residential,"EXTERIOR RENOVATIONS: REFURBISH SCHOOL BUILDING FACADE, CHANGES TO SITE PLAN: NEW WHEELCHAIR RAMP & BOLLARDS FOR SCHOOL",C2580,SCHOOL AUTHORITY - SCHOOL,Permitted,S-SPR,"Special Purpose - School, Park and Community Reserve",Released,2018-01-12T00:00:00.000,2018-01-23T00:00:00.000,2018-01-24T00:00:00.000,2020-01-23T00:00:00.000,Approval,Development Authority,GDL,GLENDALE,6,SW,51.035424162510516,-114.15855585181707,2,Titled Parcel;Building,4931 GROVE HILL RD SW;4931 GROVE HILL RD SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1585559,51.0354242],[-114.15832,51.0351449]]}","MULTIPOINT (-114.15855585181707 51.035424162510516,-114.15831997492413 51.03514494585586)",,,,,
"{'type': 'Point', 'coordinates': [-114.10771997597423, 50.9615778170643]}",DP2021-5324,2000 SOUTHLAND DR SW,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: COMMUNITY RECREATION FACILITY (GARBAGE ENCLOSURES & WHEEL CHAIR RAMPS),C1350,COMMUNITY RECREATION FACILITY,Discretionary,S-R,Special Purpose - Recreation,Released,2021-07-22T00:00:00.000,2021-10-18T00:00:00.000,2022-02-18T00:00:00.000,2023-10-18T00:00:00.000,Approval,Development Authority,PAL,PALLISER,11,SW,50.962,-114.108,2,Titled Parcel;Building,2000 SOUTHLAND DR SW;2000 SOUTHLAND DR SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.10772,50.9615778],[-114.1084723,50.9624847]]}","MULTIPOINT ((-114.10771997597423 50.9615778170643),(-114.1084722520957 50.962484656675585))",,,,,
"{'type': 'Point', 'coordinates': [-114.0597640925293, 50.99773557457419]}",DP2018-2310,6120 2 ST SE,Industrial - Other Areas,"ADDITION: MULTI-USE INDUSTRIAL (ELEVATORS), EXTERIOR RENOVATIONS: MULTI-USE INDUSTRIAL (REFURBISHING STAIRWELLS AND CORNERS OF EAST BUILDINGS), NEW: SIGN - CLASS C (FREESTANDING SIGNS - 4) - LOCATION OF POWER SUPPLY FOR SIGN CLASS C",C1685; C2690,GENERAL INDUSTRIAL - LIGHT; SIGN - CLASS C,Permitted with a Relaxation,I-G,Industrial - General,Released,2018-05-14T00:00:00.000,2018-06-14T00:00:00.000,2018-08-21T00:00:00.000,2020-06-14T00:00:00.000,Approval,Development Authority,MNI,MANCHESTER INDUSTRIAL,9,SE,50.99773557457419,-114.0597640925293,1,Titled Parcel,6120 2 ST SE,"{""type"":""Point"",""coordinates"":[-114.0597641,50.9977356]}",POINT (-114.0597640925293 50.99773557457419),,,,,
"{'type': 'Point', 'coordinates': [-114.06271185620585, 51.070069682765215]}",DP2017-3780,2009 CENTRE ST NW,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: OFFICE (NEW RAMP), EXTERIOR RENOVATIONS: OFFICE (REFURBISH BUILDING FACADE), CHANGE OF USE: OFFICE, NEW: SIGN - CLASS B (FASCIA SIGN)",B6700; B8152,OFFICES; SIGNS - CLASS B,Discretionary,DC,DIRECT CONTROL DISTRICT,Released,2017-08-17T00:00:00.000,2017-10-13T00:00:00.000,2017-11-07T00:00:00.000,2020-10-13T00:00:00.000,Approval,Development Authority,TUX,TUXEDO PARK,7,NW,51.070069682765215,-114.06271185620585,1,Titled Parcel,2009 CENTRE ST NW,"{""type"":""Point"",""coordinates"":[-114.0627119,51.0700697]}",POINT (-114.06271185620585 51.070069682765215),,,,,
"{'type': 'Point', 'coordinates': [-114.17081739820118, 51.016902889972854]}",DP2020-3616,470 STEWART GR SW,Change of Use - With Change to Site Plan,"CHANGE OF USE: MEDICAL CLINIC, RETAIL AND CONSUMER SERVICE; CHANGES TO SITE PLAN: MEDICAL CLINIC, RETAIL AND CONSUMER SERVICE (EXTERIOR RAMP AND STAIRS); CHANGES TO EXTERIOR: MEDICAL CLINIC, RETAIL AND CONSUMER SERVICE (EXTERIOR DOOR AND MINOR CHANGES TO FACADE)",C1990; C2515,MEDICAL CLINIC; RETAIL AND CONSUMER SERVICE,Discretionary,C-R3 f0.24h18,Commercial - Regional 3,Released,2020-06-11T00:00:00.000,2020-07-13T00:00:00.000,2020-08-13T00:00:00.000,2022-07-13T00:00:00.000,Approval,Development Authority,SIG,SIGNAL HILL,6,SW,51.016902889972854,-114.17081739820118,3,Titled Parcel;Building;Entryway,5751 RICHMOND RD SW;400 STEWART GR SW;470 STEWART GR SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1708174,51.0169029],[-114.1717065,51.0158897],[-114.1716513,51.0159494]]}","MULTIPOINT (-114.17081739820118 51.016902889972854,-114.17170653640825 51.01588973258058,-114.1716513029963 51.01594940701981)",,,,,
"{'type': 'Point', 'coordinates': [-114.05517545826733, 51.0494440385195]}",DP2018-3161,316 3 ST SE,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: MULTI-USE COMMERCIAL (RELOCATING GARBAGE ENCLOSURE, NEW WHEELCHAIR RAMP & BICYCLE PARKING); CHANGE OF USE: RETAIL AND CONSUMER SERVICE, RESTAURANT: LICENSED - MEDIUM, BREWERY, & WINERY AND DISTILLERY; EXTERIOR RENOVATIONS: MULTI-USE COMMERCIAL (NEW WINDOWS & DOORS); ",C1225; C2490; C2515,"BREWERY, WINERY AND DISTILLERY; RESTAURANT: LICENSED - MEDIUM; RETAIL AND CONSUMER SERVICE",Discretionary,CC-ET,Centre City East Village Transition District,Released,2018-06-29T00:00:00.000,2019-08-01T00:00:00.000,2021-03-10T00:00:00.000,2021-08-01T00:00:00.000,Approval,Development Authority,DNE,DOWNTOWN EAST VILLAGE,7,SE,51.0494440385195,-114.05517545826733,2,Titled Parcel;Building,316 3 ST SE;316 3 ST SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0551755,51.049444],[-114.0547506,51.0494738]]}","MULTIPOINT (-114.05517545826733 51.0494440385195,-114.05475055486609 51.049473832505086)",,,,,
